,Port1,Port2,Port3,Port4,Port5
20170911,"Index(['nem', 'nexus', 'populous', 'nano', 'cvcoin', 'suncontract',
       'agoras-tokens'],
      dtype='object')","Index(['crypto-com', 'ardor', 'stellar', 'waves', 'steem', 'rlc',
       'district0x'],
      dtype='object')","Index(['zcash', 'adx-net', 'stratis', 'syscoin', '0x', 'wings', 'factom'], dtype='object')","Index(['komodo', 'dash', 'ark', 'ethereum', 'singulardtv', 'eos', 'loopring'], dtype='object')","Index(['primas', 'litecoin', 'neo', 'bitcoin-cash', 'bitcoin', 'monero',
       'iota'],
      dtype='object')"
20171120,"Index(['steem', 'nano', 'nem', 'ardor', 'cryptonex', 'singulardtv', 'cvcoin',
       'vibe', 'primas', 'agoras-tokens'],
      dtype='object')","Index(['neblio', 'nexus', 'wings', 'kyber-network', 'enigma', 'agrello-delta',
       'factom', 'rlc', 'streamr-datacoin'],
      dtype='object')","Index(['stellar', 'komodo', 'ark', 'crypto-com', 'stratis', 'cardano',
       'suncontract', 'syscoin', 'populous'],
      dtype='object')","Index(['monero', 'iota', 'adx-net', 'loopring', 'ripio-credit-network',
       'zcash', 'district0x', '0x', 'red-pulse'],
      dtype='object')","Index(['bitcoin-cash', 'neo', 'power-ledger', 'ethereum', 'dash', 'eos',
       'bitcoin', 'litecoin', 'waves'],
      dtype='object')"
20180129,"Index(['primas', 'maker', 'singulardtv', 'agrello-delta', 'factom',
       'cryptonex', 'streamr-datacoin', 'ormeus-coin', 'nexus', 'komodo',
       'dynamic-trading-rights', 'cvcoin'],
      dtype='object')","Index(['iota', 'neblio', 'ark', 'district0x', 'red-pulse', 'qash', 'litecoin',
       'enigma', 'rlc', 'syscoin', 'nuls', 'wings'],
      dtype='object')","Index(['adx-net', 'neo', 'crypto-com', 'ripio-credit-network', 'vibe', 'waves',
       'loopring', 'qlink', 'suncontract', 'power-ledger', 'quantstamp',
       'time-new-bank'],
      dtype='object')","Index(['sirin-labs-token', 'populous', 'steem', 'ardor', 'kyber-network',
       'high-performance-blockchain', 'monero', 'dash', 'gifto', 'zcash',
       'bitcoin-cash', 'nebulas-token'],
      dtype='object')","Index(['ethereum', 'nem', 'bitcoin', 'nano', '0x', 'stellar', 'bibox-token',
       'wax', 'eos', 'cardano', 'stratis'],
      dtype='object')"
20180409,"Index(['ravencoin', 'ark', 'syscoin', 'vibe', 'atn', 'matrix-ai-network',
       'komodo', 'wings', 'cvcoin', 'bottos', 'crpt', 'singulardtv',
       'bibox-token', 'dynamic-trading-rights', 'rlc', 'maker'],
      dtype='object')","Index(['sirin-labs-token', 'ardor', 'ren', 'qlink', 'stellar',
       'polymath-network', 'waves', 'agrello-delta', 'credits', 'ignis',
       'ruff', 'streamr-datacoin', 'primas', 'populous', 'factom'],
      dtype='object')","Index(['power-ledger', 'qash', 'all-sports', 'zcash', 'cryptonex',
       'nebulas-token', 'iota', 'gifto', 'crypto-com', 'stratis', 'nano',
       'quantstamp', 'nexus', '0x', 'adx-net'],
      dtype='object')","Index(['loom-network', 'dash', 'cardano', 'monero', 'truechain',
       'kyber-network', 'loopring', 'nuls', 'fusion', 'singularitynet',
       'ormeus-coin', 'nem', 'district0x', 'time-new-bank', 'steem'],
      dtype='object')","Index(['mithril', 'ontology', 'eos', 'ripio-credit-network', 'suncontract',
       'bitcoin', 'ethereum', 'high-performance-blockchain', 'neblio',
       'bitcoin-cash', 'litecoin', 'red-pulse', 'wax', 'neo', 'enigma'],
      dtype='object')"
20180618,"Index(['maker', 'syscoin', 'ruff', 'red-pulse', 'suncontract', 'district0x',
       'quantstamp', 'ark', 'nem', 'ignis', 'factom', 'stakenet', 'nkn',
       'komodo', 'odem', 'dynamic-trading-rights', 'atn'],
      dtype='object')","Index(['waves', 'ripio-credit-network', 'nexus', 'nuls', 'adx-net', 'rlc',
       'wax', 'time-new-bank', 'crpt', 'qlink', 'agrello-delta', 'ravencoin',
       'ardor', 'cryptonex', 'streamr-datacoin', 'steem', 'power-ledger'],
      dtype='object')","Index(['ormeus-coin', 'populous', 'crypto-com', 'stratis',
       'high-performance-blockchain', 'neblio', 'sirin-labs-token', 'vibe',
       'wings', 'enigma', 'ren', 'polymath-network', 'credits',
       'bnktothefuture', 'qash', 'kyber-network'],
      dtype='object')","Index(['educare', 'zcash', 'singularitynet', 'fusion', 'cvcoin', 'nano',
       'ontology', 'litecoin', 'matrix-ai-network', 'singulardtv', '0x',
       'gifto', 'primas', 'loom-network', 'stellar', 'loopring', 'cardano'],
      dtype='object')","Index(['mithril', 'bibox-token', 'bitcoin', 'all-sports', 'eos', 'ethereum',
       'truechain', 'nebulas-token', 'bottos', 'dash', 'neo', 'monero', 'iota',
       'nexo', 'cortex', 'bitcoin-cash'],
      dtype='object')"
20180827,"Index(['syscoin', 'singularitynet', 'odem', 'suncontract', 'komodo', 'wings',
       'singulardtv', 'wax', 'ardor', 'neblio', 'agrello-delta', 'red-pulse',
       'mixin', 'ignis', 'maker', 'streamr-datacoin', 'metronome',
       'dynamic-trading-rights', 'stasis-euro'],
      dtype='object')","Index(['atn', 'smartshare', 'crypto-com', 'cardano', 'adx-net',
       'sirin-labs-token', 'stakenet', 'matrix-ai-network', 'district0x',
       'ravencoin', 'seele', 'power-ledger', 'qlink', 'cvcoin', 'factom',
       'steem', 'bottos', 'vibe', 'nexus'],
      dtype='object')","Index(['ripio-credit-network', 'ren', 'bnktothefuture', 'loopring', 'ruff',
       'waves', 'ark', 'cryptonex', 'kyber-network', 'stratis', 'crpt',
       'gifto', 'nem', 'fusion', 'nexo', 'nebulas-token', '0x', 'credits'],
      dtype='object')","Index(['stellar', 'truechain', 'mithril', 'loom-network', 'rlc', 'primas',
       'pchain', 'enigma', 'polymath-network', 'high-performance-blockchain',
       'time-new-bank', 'populous', 'bhp-coin', 'neo', 'constellation', 'nkn',
       'educare', 'all-sports', 'nuls'],
      dtype='object')","Index(['nano', 'ontology', 'ethereum', 'bibox-token', 'cortex', 'pundi-x',
       'bitcoin-cash', 'iota', 'zcash', 'qash', 'bitcoin', 'vechain', 'eos',
       'dash', 'monero', 'ormeus-coin', 'quantstamp', 'litecoin'],
      dtype='object')"
20181105,"Index(['nexus', 'snetwork', 'seele', 'qlink', 'komodo', 'syscoin', 'ark',
       'ignis', 'all-sports', 'suncontract', 'factom', 'maker',
       'constellation', 'stasis-euro', 'pchain', 'stakenet', 'metronome',
       'mixin', 'dynamic-trading-rights', 'travala'],
      dtype='object')","Index(['iota', 'primas', 'singulardtv', 'crpt', 'atn', 'nuls', 'power-ledger',
       'vibe', 'educare', 'nem', 'high-performance-blockchain', 'wax', 'steem',
       'bnktothefuture', 'qash', 'wings', 'adx-net', 'enigma', 'ren'],
      dtype='object')","Index(['zcash', 'ripio-credit-network', 'rlc', 'quantstamp', 'monero',
       'vechain', 'stratis', 'loom-network', 'odem', 'crypto-com',
       'agrello-delta', 'nebulas-token', 'streamr-datacoin',
       'sirin-labs-token', 'neblio', 'zip', 'nano', 'cortex', 'bottos',
       'ardor'],
      dtype='object')","Index(['polymath-network', 'truechain', 'time-new-bank', 'nexo', 'safeinsure',
       'bibox-token', 'mithril', 'singularitynet', 'matrix-ai-network',
       'insight-chain', 'ontology', 'kyber-network', 'district0x', 'fusion',
       'waves', 'cvcoin', 'populous', 'cryptonex', 'loopring'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'ormeus-coin', 'nkn', 'litecoin',
       'ravencoin', 'dash', 'ethereum', 'stellar', 'neo', 'red-pulse',
       'pundi-x', 'cardano', 'credits', 'gifto', '0x', 'smartshare', 'ruff',
       'eos'],
      dtype='object')"
20190114,"Index(['power-ledger', 'pchain', 'maker', 'loom-network', 'snetwork',
       'singulardtv', 'time-new-bank', 'stakenet', 'qlink', 'adx-net', 'ignis',
       'travala', 'ardor', 'rlc', 'atn', 'wings', 'ormeus-coin', 'komodo',
       'mixin', 'singularitynet', 'dynamic-trading-rights'],
      dtype='object')","Index(['loopring', 'fusion', 'wax', 'suncontract', 'matrix-ai-network',
       'neblio', 'kcash', 'enigma', '0x', 'ren', 'seele', 'crypto-com-coin',
       'stasis-euro', 'bnktothefuture', 'district0x', 'quantstamp',
       'ripio-credit-network', 'fantom', 'factom', 'syscoin'],
      dtype='object')","Index(['bibox-token', 'nkn', 'cvcoin', 'educare', 'iota', 'vechain',
       'safeinsure', 'high-performance-blockchain', 'steem',
       'streamr-datacoin', 'stratis', 'primas', 'cortex', 'vibe',
       'constellation', 'nexus', 'ravencoin', 'nano', 'ark',
       'sirin-labs-token', 'bottos'],
      dtype='object')","Index(['nem', 'nuls', 'crypto-com', 'cardano', 'metronome', 'howdoo', 'qash',
       'credits', 'zip', 'dash', 'monero', 'insight-chain', 'odem',
       'kyber-network', 'ruff', 'crpt', 'cryptonex', 'gifto', 'pundi-x',
       'nebulas-token'],
      dtype='object')","Index(['bitcoin', 'bitcoin-sv', 'ethereum', 'litecoin', 'red-pulse',
       'ontology', 'eos', 'bitcoin-cash', 'agrello-delta', 'zcash', 'waves',
       'stellar', 'neo', 'truechain', 'smartshare', 'polymath-network',
       'populous', 'nexo', 'all-sports', 'mithril'],
      dtype='object')"
20190325,"Index(['komodo', 'nexus', 'syscoin', 'suncontract', 'populous', 'loopring',
       'enigma', 'singulardtv', 'stasis-euro', 'nano', 'hyperion', 'vibe',
       'qash', 'wax', 'snetwork', 'agrello-delta', 'mixin', 'quantstamp',
       'thorecoin', 'factom', 'howdoo', 'wings', 'dynamic-trading-rights'],
      dtype='object')","Index(['rlc', 'cvcoin', 'pchain', 'ren', 'neblio', 'district0x',
       'sirin-labs-token', 'gifto', 'qlink', 'streamr-datacoin',
       'davinci-coin', 'maker', 'ark', 'crypto-com', 'stakenet', 'waves',
       'metronome', 'atn', 'odem', 'crpt', 'travala', 'stableusd',
       'time-new-bank'],
      dtype='object')","Index(['cryptonex', 'ripio-credit-network', 'mithril', 'constellation',
       'kcash', 'cortex', 'nem', 'matrix-ai-network', 'zip', 'steem',
       'singularitynet', 'fusion', 'all-sports', 'insight-chain',
       'loom-network', 'pundi-x', 'bhp-coin', 'cwv-chain', 'adx-net',
       'crypto-com-coin', 'stratis', 'ardor'],
      dtype='object')","Index(['truechain', 'bnktothefuture', 'power-ledger', 'smartshare',
       'safeinsure', 'nebulas-token', 'red-pulse', 'monero', 'primas',
       'bitcoin-sv', 'nexo', 'nkn', 'platincoin', 'hycon', 'ruff', 'ignis',
       'dash', 'high-performance-blockchain', 'iota', 'kyber-network', 'seele',
       'bottos', 'vechain'],
      dtype='object')","Index(['polymath-network', 'ravencoin', 'bitcoin', 'cardano', 'nuls',
       'bitcoin-cash', 'litecoin', 'next', 'ethereum', 'eos', '0x', 'metahash',
       'fantom', 'grin', 'ormeus-coin', 'neo', 'stellar', 'ontology', 'zcash',
       'educare', 'credits', 'bibox-token'],
      dtype='object')"
20190603,"Index(['steem', 'ark', 'adx-net', 'crpt', 'ormeus-coin', 'nuls', 'rif-token',
       'neblio', 'ignis', 'factom', 'all-sports', 'snetwork', 'cwv-chain',
       'time-new-bank', 'ruff', 'hyperion', 'primas', 'howdoo', 'cvcoin',
       'stratis', 'stakenet', 'stasis-euro', 'seele', 'wings', 'thorecoin',
       'dynamic-trading-rights'],
      dtype='object')","Index(['singulardtv', 'kyber-network', 'hycon', 'power-ledger', 'nexus',
       'safeinsure', 'hedgetrade', 'mixin', 'wax', 'cryptonex',
       'nebulas-token', 'bnktothefuture', 'populous', 'qash', 'suncontract',
       'vibe', 'dos-network', 'blue-whale-exchange', 'district0x', 'qlink',
       'metronome', 'stableusd', 'educare', 'sirin-labs-token', 'travala'],
      dtype='object')","Index(['high-performance-blockchain', 'pchain', 'cortex', 'nano',
       'streamr-datacoin', 'insight-chain', 'metahash', 'constellation',
       'intellishare', 'pundi-x', 'agrello-delta', 'syscoin', 'nash-exchange',
       'polymath-network', 'rlc', 'bhp-coin', 'nexo', 'waves', 'ardor', '0x',
       'verasity', 'enigma', 'quantstamp', 'loom-network', 'mithril', 'v-id'],
      dtype='object')","Index(['komodo', 'grin', 'red-pulse', 'loopring', 'crypto-com-coin',
       'matrix-ai-network', 'gifto', 'kcash', 'ren', 'next', 'eterbase-coin',
       'theta-fuel', 'bottos', 'smartshare', 'nkn', 'fantom', 'platincoin',
       'bibox-token', 'fusion', 'vechain', 'bolt', 'crypto-com', '1sg',
       'ripio-credit-network', 'maker'],
      dtype='object')","Index(['eos', 'bitcoin', 'ravencoin', 'zcash', 'celer-network', 'dash',
       'cardano', 'bitcoin-sv', 'neo', 'litecoin', 'credits', 'bitcoin-cash',
       'odem', 'ocean-protocol', 'ether-zero', 'ethereum', 'ontology',
       'stellar', 'nem', 'monero', 'iota', 'zip', 'davinci-coin', 'truechain',
       'singularitynet'],
      dtype='object')"
