,Port1,Port2,Port3,Port4,Port5
20171017,"Index(['wings', 'steem', 'agoras-tokens', 'waves', 'populous', 'stratis',
       'eos'],
      dtype='object')","Index(['zcash', 'rlc', 'bitcoin-cash', 'iota', 'nem', 'factom'], dtype='object')","Index(['syscoin', 'litecoin', 'suncontract', 'nexus', 'ethereum',
       'singulardtv'],
      dtype='object')","Index(['district0x', 'bitcoin', 'komodo', 'neo', 'stellar', 'dash'], dtype='object')","Index(['crypto-com', 'adx-net', 'ark', 'nano', 'monero', 'ardor'], dtype='object')"
20171126,"Index(['district0x', 'ark', 'steem', 'crypto-com', 'wings', 'singulardtv',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['rlc', 'factom', 'agoras-tokens', 'primas', '0x', 'stratis', 'nem'], dtype='object')","Index(['adx-net', 'neo', 'ethereum', 'litecoin', 'monero', 'iota', 'waves',
       'komodo'],
      dtype='object')","Index(['cvcoin', 'neblio', 'bitcoin', 'nano', 'dash', 'syscoin', 'zcash'], dtype='object')","Index(['loopring', 'populous', 'stellar', 'bitcoin-cash', 'suncontract', 'eos',
       'ardor'],
      dtype='object')"
20180105,"Index(['wings', 'adx-net', 'ark', 'bitcoin', 'zcash', 'crypto-com',
       'singulardtv', 'neblio', 'cvcoin'],
      dtype='object')","Index(['primas', 'stratis', 'waves', 'nebulas-token', 'neo', 'kyber-network',
       'ethereum', 'syscoin'],
      dtype='object')","Index(['0x', 'komodo', 'monero', 'district0x', 'loopring', 'dash', 'litecoin',
       'factom', 'rlc'],
      dtype='object')","Index(['ardor', 'agoras-tokens', 'nem', 'nexus', 'steem', 'bitcoin-cash',
       'agrello-delta', 'suncontract'],
      dtype='object')","Index(['nano', 'cardano', 'eos', 'stellar', 'enigma', 'populous', 'vibe',
       'iota'],
      dtype='object')"
20180214,"Index(['qash', 'bitcoin-cash', 'adx-net', 'dash', 'monero', 'crypto-com',
       'waves', 'bitcoin', 'streamr-datacoin', 'iota'],
      dtype='object')","Index(['ripio-credit-network', 'factom', 'zcash', 'primas', 'power-ledger',
       'stratis', 'ardor', 'ark', 'wings', 'singulardtv'],
      dtype='object')","Index(['kyber-network', 'suncontract', 'litecoin', 'cvcoin', 'populous',
       'nexus', 'syscoin', 'cryptonex', 'komodo'],
      dtype='object')","Index(['quantstamp', 'stellar', 'loopring', 'rlc', 'agrello-delta', 'eos',
       'nem', 'ethereum', 'time-new-bank', 'district0x'],
      dtype='object')","Index(['nano', 'vibe', 'red-pulse', 'enigma', '0x', 'steem', 'cardano', 'neo',
       'neblio'],
      dtype='object')"
20180326,"Index(['stratis', 'nexus', 'singulardtv', 'cardano', 'agrello-delta',
       'red-pulse', 'vibe', 'nem', 'sirin-labs-token', 'ardor', 'wax'],
      dtype='object')","Index(['populous', 'wings', 'time-new-bank', 'qash', 'adx-net',
       'streamr-datacoin', 'ripio-credit-network', 'primas', 'kyber-network',
       'power-ledger', 'cvcoin'],
      dtype='object')","Index(['iota', 'suncontract', 'crypto-com', 'rlc', 'steem', 'ark', 'enigma',
       'nano', 'neo', 'quantstamp', '0x'],
      dtype='object')","Index(['waves', 'dash', 'district0x', 'gifto', 'loopring', 'ethereum',
       'factom', 'bitcoin-cash', 'stellar', 'komodo', 'zcash'],
      dtype='object')","Index(['cryptonex', 'litecoin', 'bitcoin', 'ormeus-coin', 'nebulas-token',
       'nuls', 'neblio', 'monero', 'eos', 'dynamic-trading-rights', 'syscoin'],
      dtype='object')"
20180505,"Index(['monero', 'ignis', 'sirin-labs-token', 'dash', 'litecoin', 'zcash',
       'singularitynet', 'adx-net', 'vibe', 'neo', 'polymath-network', 'nano',
       'red-pulse'],
      dtype='object')","Index(['komodo', 'qash', 'populous', 'ark', 'factom', 'bitcoin',
       'agrello-delta', 'syscoin', 'power-ledger', 'quantstamp', 'ethereum',
       'wings', 'high-performance-blockchain'],
      dtype='object')","Index(['primas', 'time-new-bank', 'streamr-datacoin', 'dynamic-trading-rights',
       'neblio', 'cryptonex', 'steem', 'cardano', 'stratis', 'nem',
       'ormeus-coin', 'bibox-token', 'ardor'],
      dtype='object')","Index(['gifto', 'wax', 'bitcoin-cash', 'kyber-network', 'qlink', 'stellar',
       'singulardtv', 'ripio-credit-network', 'enigma', 'waves', 'cvcoin',
       'maker', 'suncontract'],
      dtype='object')","Index(['bottos', 'eos', '0x', 'all-sports', 'crypto-com', 'nuls', 'rlc',
       'district0x', 'nexus', 'iota', 'nebulas-token', 'loopring'],
      dtype='object')"
20180614,"Index(['wings', 'adx-net', 'vibe', 'neblio', 'populous', 'sirin-labs-token',
       'qash', 'suncontract', 'ripio-credit-network', 'red-pulse', 'qlink',
       'credits', 'ravencoin', 'nano', 'factom', 'ormeus-coin'],
      dtype='object')","Index(['nem', 'wax', 'dash', 'neo', 'power-ledger', 'litecoin', 'cryptonex',
       'district0x', 'atn', 'ark', 'singulardtv', 'komodo', 'ardor',
       'agrello-delta', 'monero'],
      dtype='object')","Index(['singularitynet', 'loopring', 'matrix-ai-network', 'steem', 'bitcoin',
       'time-new-bank', 'gifto', 'waves', 'quantstamp', 'cvcoin', 'ignis',
       'stratis', 'high-performance-blockchain', 'dynamic-trading-rights',
       'syscoin'],
      dtype='object')","Index(['nuls', 'streamr-datacoin', 'ethereum', 'iota', 'maker', 'rlc',
       'polymath-network', 'nebulas-token', 'stellar', 'cardano',
       'kyber-network', 'enigma', 'nexus', 'zcash', 'crypto-com'],
      dtype='object')","Index(['all-sports', 'bibox-token', 'truechain', 'primas', 'ren',
       'loom-network', 'ontology', 'fusion', 'mithril', 'eos', 'bottos', '0x',
       'crpt', 'bitcoin-cash', 'ruff'],
      dtype='object')"
20180724,"Index(['red-pulse', 'primas', 'populous', 'cortex', 'ren', 'agrello-delta',
       'neblio', 'vibe', 'bottos', 'matrix-ai-network', 'nexo',
       'bnktothefuture', 'truechain', 'qlink', 'credits', 'fusion',
       'all-sports'],
      dtype='object')","Index(['singulardtv', 'ontology', 'district0x', 'gifto', 'time-new-bank',
       'ark', 'ruff', 'suncontract', 'rlc', 'loom-network', 'loopring', 'nano',
       'sirin-labs-token', 'ripio-credit-network', 'quantstamp', 'ravencoin',
       'polymath-network'],
      dtype='object')","Index(['neo', 'nuls', 'singularitynet', 'komodo', 'dynamic-trading-rights',
       'iota', 'stratis', 'enigma', 'kyber-network', 'steem', 'wax', 'wings',
       'waves', 'nebulas-token', 'syscoin', 'qash'],
      dtype='object')","Index(['eos', 'high-performance-blockchain', 'adx-net', 'educare', 'atn',
       'litecoin', 'bitcoin-cash', 'mixin', 'dash', 'ardor', 'ignis', 'zcash',
       'factom', 'streamr-datacoin', 'nem', 'cryptonex', 'crpt'],
      dtype='object')","Index(['odem', 'bibox-token', 'bitcoin', 'cvcoin', 'stellar', 'mithril', '0x',
       'stakenet', 'crypto-com', 'nexus', 'maker', 'power-ledger', 'monero',
       'ethereum', 'cardano', 'ormeus-coin'],
      dtype='object')"
20180902,"Index(['bibox-token', 'high-performance-blockchain', 'singularitynet', 'ren',
       'streamr-datacoin', 'nebulas-token', 'constellation', 'bottos',
       'stakenet', 'loopring', 'fusion', 'dynamic-trading-rights',
       'bnktothefuture', 'educare', 'all-sports', 'nkn', 'smartshare'],
      dtype='object')","Index(['credits', 'ethereum', 'syscoin', 'cryptonex', 'agrello-delta',
       'truechain', 'rlc', 'time-new-bank', 'ormeus-coin', 'nexo', 'red-pulse',
       'vibe', 'ruff', 'suncontract', 'ontology', 'ripio-credit-network',
       'atn'],
      dtype='object')","Index(['gifto', 'polymath-network', 'nem', 'singulardtv', 'stratis', 'neo',
       'wax', 'quantstamp', 'wings', 'ark', 'kyber-network', 'neblio',
       'cortex', 'sirin-labs-token', 'adx-net', 'factom', 'enigma'],
      dtype='object')","Index(['mithril', 'nuls', 'komodo', 'ardor', 'nexus', 'loom-network', 'eos',
       'bitcoin-cash', 'waves', 'district0x', 'litecoin', 'cardano', 'crpt',
       'populous', 'steem', 'iota', 'matrix-ai-network'],
      dtype='object')","Index(['odem', 'nano', 'ravencoin', 'stellar', '0x', 'bitcoin', 'qlink',
       'power-ledger', 'primas', 'cvcoin', 'monero', 'qash', 'ignis',
       'crypto-com', 'maker', 'zcash', 'dash'],
      dtype='object')"
20181012,"Index(['red-pulse', 'atn', 'bottos', 'bibox-token', 'ethereum', 'pchain',
       'high-performance-blockchain', 'nkn', 'constellation', 'ormeus-coin',
       'mithril', 'fusion', 'smartshare', 'cvcoin', 'dynamic-trading-rights',
       'educare', 'mixin', 'odem'],
      dtype='object')","Index(['nexus', 'matrix-ai-network', 'enigma', 'credits', 'metronome', 'neo',
       'nuls', 'loopring', 'cardano', 'factom', 'crpt', 'time-new-bank',
       'stakenet', 'suncontract', 'singularitynet', 'kyber-network', 'gifto',
       'iota'],
      dtype='object')","Index(['syscoin', 'litecoin', 'steem', 'sirin-labs-token', 'populous',
       'polymath-network', 'neblio', 'quantstamp', 'adx-net', 'power-ledger',
       'stratis', 'streamr-datacoin', 'ruff', 'crypto-com', 'wax', 'nem',
       'bitcoin-cash', 'zcash'],
      dtype='object')","Index(['rlc', 'pundi-x', 'ontology', 'loom-network', 'wings', 'dash',
       'vechain', 'ripio-credit-network', 'all-sports', 'komodo', 'district0x',
       'ark', 'eos', 'singulardtv', 'ignis', 'cortex', 'bnktothefuture',
       'ren'],
      dtype='object')","Index(['agrello-delta', 'vibe', 'nexo', 'maker', 'nano', 'qlink', 'qash',
       'waves', 'primas', 'ravencoin', 'bitcoin', 'monero', 'ardor', 'stellar',
       '0x', 'truechain', 'nebulas-token', 'cryptonex'],
      dtype='object')"
