,Port1,Port2,Port3,Port4,Port5
20170708,"Index(['rlc', 'ardor', 'stellar', 'stratis', 'iota', 'litecoin'], dtype='object')","Index(['crypto-com', 'steem', 'nem', 'syscoin', 'zcash'], dtype='object')","Index(['agoras-tokens', 'neo', 'komodo', 'nexus', 'singulardtv'], dtype='object')","Index(['ark', 'waves', 'wings', 'factom', 'nano'], dtype='object')","Index(['bitcoin', 'dash', 'eos', 'ethereum', 'monero'], dtype='object')"
20170711,"Index(['factom', 'iota', 'stellar', 'zcash', 'stratis', 'eos'], dtype='object')","Index(['nem', 'komodo', 'crypto-com', 'syscoin', 'waves'], dtype='object')","Index(['steem', 'agoras-tokens', 'singulardtv', 'nexus', 'ark'], dtype='object')","Index(['monero', 'wings', 'ardor', 'rlc', 'nano'], dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'neo', 'dash'], dtype='object')"
20170714,"Index(['dash', 'monero', 'zcash', 'litecoin', 'bitcoin', 'ethereum'], dtype='object')","Index(['crypto-com', 'iota', 'ardor', 'steem', 'nem'], dtype='object')","Index(['agoras-tokens', 'rlc', 'nano', 'singulardtv', 'syscoin'], dtype='object')","Index(['factom', 'nexus', 'waves', 'ark', 'komodo'], dtype='object')","Index(['stratis', 'stellar', 'neo', 'eos', 'wings'], dtype='object')"
20170717,"Index(['stratis', 'ardor', 'dash', 'waves', 'eos', 'ethereum'], dtype='object')","Index(['neo', 'factom', 'wings', 'monero', 'adx-net'], dtype='object')","Index(['agoras-tokens', 'steem', 'komodo', 'singulardtv', 'ark', 'syscoin'], dtype='object')","Index(['nem', 'rlc', 'nano', 'crypto-com', 'nexus'], dtype='object')","Index(['bitcoin', 'litecoin', 'stellar', 'zcash', 'iota'], dtype='object')"
20170720,"Index(['neo', 'stellar', 'dash', 'zcash', 'bitcoin', 'litecoin'], dtype='object')","Index(['nano', 'agoras-tokens', 'nexus', 'adx-net', 'monero', 'factom'], dtype='object')","Index(['syscoin', 'wings', 'ark', 'rlc', 'singulardtv'], dtype='object')","Index(['crypto-com', 'nem', 'ardor', 'waves', 'steem', 'komodo'], dtype='object')","Index(['ethereum', 'iota', 'eos', 'stratis', 'populous'], dtype='object')"
20170723,"Index(['crypto-com', 'iota', 'zcash', 'litecoin', 'bitcoin', 'ethereum'], dtype='object')","Index(['rlc', 'nexus', 'agoras-tokens', 'nano', 'komodo', 'adx-net'], dtype='object')","Index(['monero', 'ark', 'wings', 'populous', 'singulardtv'], dtype='object')","Index(['eos', 'ardor', 'nem', 'steem', 'waves', 'dash'], dtype='object')","Index(['neo', 'stratis', 'stellar', 'factom', 'syscoin'], dtype='object')"
20170726,"Index(['steem', 'stellar', 'ardor', 'zcash', 'eos', 'stratis'], dtype='object')","Index(['komodo', 'wings', 'populous', 'neo', 'syscoin', 'waves'], dtype='object')","Index(['crypto-com', 'nem', 'agoras-tokens', 'singulardtv', 'ark'], dtype='object')","Index(['factom', 'adx-net', 'rlc', 'nano', 'nexus', 'iota'], dtype='object')","Index(['bitcoin', 'ethereum', 'dash', 'litecoin', 'monero'], dtype='object')"
20170729,"Index(['stratis', 'stellar', 'zcash', 'dash', 'litecoin', 'ethereum'], dtype='object')","Index(['ark', 'neo', 'syscoin', 'singulardtv', 'factom', 'adx-net'], dtype='object')","Index(['nexus', 'crypto-com', 'nano', 'rlc', 'wings'], dtype='object')","Index(['populous', 'waves', 'steem', 'komodo', 'agoras-tokens', 'ardor'], dtype='object')","Index(['bitcoin', 'eos', 'monero', 'nem', 'iota'], dtype='object')"
20170801,"Index(['iota', 'stellar', 'factom', 'monero', 'dash', 'eos'], dtype='object')","Index(['ardor', 'steem', 'wings', 'komodo', 'nem', 'waves'], dtype='object')","Index(['nano', 'nexus', 'rlc', 'crypto-com', 'syscoin'], dtype='object')","Index(['populous', 'singulardtv', 'zcash', 'ark', 'adx-net', 'agoras-tokens'], dtype='object')","Index(['ethereum', 'bitcoin', 'litecoin', 'stratis', 'neo'], dtype='object')"
20170804,"Index(['steem', 'zcash', 'dash', 'eos', 'litecoin', 'bitcoin'], dtype='object')","Index(['rlc', 'agoras-tokens', 'nano', 'komodo', 'nexus', 'crypto-com'], dtype='object')","Index(['adx-net', 'ark', 'wings', 'singulardtv', 'populous'], dtype='object')","Index(['waves', 'ardor', 'stellar', 'factom', 'monero', 'syscoin'], dtype='object')","Index(['ethereum', 'neo', 'nem', 'iota', 'stratis'], dtype='object')"
20170807,"Index(['nem', 'ardor', 'dash', 'eos', 'litecoin', 'bitcoin-cash'], dtype='object')","Index(['monero', 'factom', 'komodo', 'steem', 'syscoin', 'zcash'], dtype='object')","Index(['singulardtv', 'adx-net', 'nano', 'nexus', 'rlc', 'agoras-tokens'], dtype='object')","Index(['waves', 'stratis', 'crypto-com', 'ark', 'wings', 'populous'], dtype='object')","Index(['ethereum', 'bitcoin', 'neo', 'iota', 'stellar'], dtype='object')"
20170810,"Index(['waves', 'litecoin', 'ark', 'dash', 'eos', 'stellar', 'bitcoin'], dtype='object')","Index(['monero', 'crypto-com', 'syscoin', 'factom', 'adx-net', 'steem'], dtype='object')","Index(['suncontract', 'agoras-tokens', 'ardor', 'nano', 'singulardtv',
       'komodo'],
      dtype='object')","Index(['nem', 'district0x', 'wings', 'populous', 'nexus', 'rlc'], dtype='object')","Index(['bitcoin-cash', 'ethereum', 'neo', 'zcash', 'iota', 'stratis'], dtype='object')"
20170813,"Index(['monero', 'stellar', 'zcash', 'stratis', 'eos', 'litecoin', 'ethereum'], dtype='object')","Index(['syscoin', 'ardor', 'nem', 'factom', 'waves', 'dash'], dtype='object')","Index(['steem', 'nexus', 'ark', 'suncontract', 'agoras-tokens', 'populous'], dtype='object')","Index(['district0x', 'komodo', 'rlc', 'singulardtv', 'nano', 'wings'], dtype='object')","Index(['neo', 'bitcoin', 'adx-net', 'bitcoin-cash', 'crypto-com', 'iota'], dtype='object')"
20170816,"Index(['zcash', 'nem', 'stellar', 'stratis', 'bitcoin-cash', 'litecoin',
       'ethereum'],
      dtype='object')","Index(['eos', 'crypto-com', 'dash', 'waves', 'komodo', 'factom'], dtype='object')","Index(['syscoin', 'ardor', 'rlc', 'populous', 'singulardtv', 'monero',
       'steem'],
      dtype='object')","Index(['nexus', 'suncontract', 'nano', 'cvcoin', 'agoras-tokens', 'wings'], dtype='object')","Index(['bitcoin', 'neo', 'adx-net', 'ark', 'iota', 'district0x'], dtype='object')"
20170819,"Index(['waves', 'monero', 'zcash', 'stratis', 'ark', 'eos', 'neo'], dtype='object')","Index(['nexus', 'steem', 'syscoin', 'singulardtv', 'ardor', 'stellar'], dtype='object')","Index(['nano', 'komodo', 'wings', 'populous', 'nem', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['dash', 'iota', 'suncontract', 'factom', 'district0x', 'rlc'], dtype='object')","Index(['bitcoin-cash', 'crypto-com', 'adx-net', 'bitcoin', 'ethereum',
       'litecoin'],
      dtype='object')"
20170822,"Index(['stratis', 'eos', 'adx-net', 'litecoin', 'neo', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['komodo', 'nem', 'rlc', 'wings', 'populous', 'suncontract', 'iota'], dtype='object')","Index(['factom', 'waves', 'singulardtv', 'cvcoin', 'nexus', 'agoras-tokens',
       'nano'],
      dtype='object')","Index(['district0x', 'stellar', 'steem', 'aidos-kuneen', 'ark', 'syscoin',
       'ardor'],
      dtype='object')","Index(['ethereum', 'monero', 'dash', '0x', 'crypto-com', 'zcash'], dtype='object')"
20170825,"Index(['ark', 'district0x', 'iota', 'zcash', 'stellar', 'crypto-com',
       'ethereum'],
      dtype='object')","Index(['nexus', 'agoras-tokens', 'nano', 'wings', 'suncontract', 'rlc',
       'singulardtv'],
      dtype='object')","Index(['populous', 'ardor', 'nem', 'steem', 'syscoin', 'komodo', 'cvcoin'], dtype='object')","Index(['aidos-kuneen', 'eos', 'adx-net', 'factom', 'stratis', 'waves', '0x'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'neo', 'litecoin', 'monero', 'dash'], dtype='object')"
20170828,"Index(['district0x', 'iota', '0x', 'eos', 'neo', 'bitcoin-cash', 'bitcoin'], dtype='object')","Index(['rlc', 'ardor', 'populous', 'suncontract', 'waves', 'nem', 'ethereum'], dtype='object')","Index(['stellar', 'komodo', 'nano', 'agoras-tokens', 'cvcoin', 'singulardtv',
       'aidos-kuneen'],
      dtype='object')","Index(['ark', 'factom', 'nebulas-token', 'steem', 'syscoin', 'nexus', 'wings'], dtype='object')","Index(['litecoin', 'monero', 'dash', 'crypto-com', 'zcash', 'stratis',
       'adx-net'],
      dtype='object')"
20170831,"Index(['zcash', 'dash', 'adx-net', 'iota', 'eos', 'neo', 'bitcoin-cash'], dtype='object')","Index(['steem', 'suncontract', 'ardor', 'singulardtv', 'aidos-kuneen',
       'district0x', '0x'],
      dtype='object')","Index(['waves', 'wings', 'cvcoin', 'agoras-tokens', 'nano', 'rlc', 'populous'], dtype='object')","Index(['ark', 'syscoin', 'nem', 'stratis', 'stellar', 'komodo', 'factom'], dtype='object')","Index(['ethereum', 'bitcoin', 'monero', 'crypto-com', 'litecoin', 'nexus'], dtype='object')"
