,Port1,Port2,Port3,Port4,Port5
20170808,"Index(['syscoin', 'rlc', 'nexus', 'komodo', 'agoras-tokens', 'nano'], dtype='object')","Index(['adx-net', 'wings', 'crypto-com', 'singulardtv', 'steem', 'ark'], dtype='object')","Index(['zcash', 'dash', 'ardor', 'factom', 'populous'], dtype='object')","Index(['iota', 'nem', 'stratis', 'monero', 'stellar', 'waves'], dtype='object')","Index(['bitcoin', 'ethereum', 'neo', 'eos', 'litecoin'], dtype='object')"
20170901,"Index(['singulardtv', 'komodo', 'ardor', 'rlc', 'nano', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['aidos-kuneen', 'stratis', 'factom', 'waves', 'suncontract', 'populous',
       'wings'],
      dtype='object')","Index(['ark', 'iota', 'nexus', 'eos', 'stellar', 'steem', 'nem'], dtype='object')","Index(['ethereum', '0x', 'neo', 'zcash', 'district0x', 'adx-net', 'syscoin'], dtype='object')","Index(['monero', 'bitcoin-cash', 'litecoin', 'crypto-com', 'dash', 'bitcoin'], dtype='object')"
20170925,"Index(['agoras-tokens', 'populous', 'nano', 'suncontract', 'steem',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['waves', 'singulardtv', 'wings', 'loopring', 'factom', 'rlc', 'ardor'], dtype='object')","Index(['stratis', 'nem', 'nexus', 'komodo', 'stellar', 'district0x', '0x'], dtype='object')","Index(['ark', 'monero', 'syscoin', 'eos', 'iota', 'crypto-com', 'adx-net'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'litecoin', 'ethereum', 'dash', 'neo',
       'zcash'],
      dtype='object')"
20171019,"Index(['steem', 'wings', 'populous', 'suncontract', 'cvcoin', 'rlc',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['agoras-tokens', '0x', 'factom', 'komodo', 'vibe', 'nano',
       'singulardtv', 'nexus'],
      dtype='object')","Index(['neblio', 'kyber-network', 'eos', 'dash', 'ark', 'loopring', 'ardor',
       'nem'],
      dtype='object')","Index(['crypto-com', 'iota', 'stratis', 'adx-net', 'monero', 'waves', 'zcash',
       'syscoin'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'ethereum', 'neo',
       'district0x', 'cardano'],
      dtype='object')"
20171112,"Index(['steem', 'neblio', 'agrello-delta', 'nexus', 'suncontract', 'wings',
       'primas', 'vibe', 'agoras-tokens'],
      dtype='object')","Index(['cvcoin', '0x', 'ardor', 'rlc', 'kyber-network', 'nano', 'loopring',
       'enigma'],
      dtype='object')","Index(['singulardtv', 'ark', 'nem', 'syscoin', 'red-pulse', 'adx-net',
       'district0x', 'komodo', 'populous'],
      dtype='object')","Index(['neo', 'cardano', 'stellar', 'dash', 'zcash', 'factom', 'waves',
       'stratis'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'monero', 'eos', 'bitcoin', 'litecoin',
       'iota', 'crypto-com'],
      dtype='object')"
20171206,"Index(['populous', 'district0x', 'neblio', 'rlc', 'red-pulse', 'cryptonex',
       'wings', 'primas', 'vibe', 'cvcoin'],
      dtype='object')","Index(['loopring', 'ark', 'agrello-delta', 'komodo', 'factom',
       'streamr-datacoin', 'steem', '0x', 'nano'],
      dtype='object')","Index(['quantstamp', 'ripio-credit-network', 'waves', 'ardor', 'singulardtv',
       'adx-net', 'kyber-network', 'nexus', 'nem', 'suncontract'],
      dtype='object')","Index(['litecoin', 'syscoin', 'agoras-tokens', 'bitcoin', 'power-ledger',
       'zcash', 'neo', 'stratis', 'enigma'],
      dtype='object')","Index(['iota', 'cardano', 'bitcoin-cash', 'ethereum', 'crypto-com', 'stellar',
       'monero', 'eos', 'dash'],
      dtype='object')"
20171230,"Index(['streamr-datacoin', 'steem', 'populous', 'suncontract', 'rlc', 'nexus',
       'primas', 'vibe', 'cryptonex', 'cvcoin'],
      dtype='object')","Index(['syscoin', 'wings', 'agrello-delta', 'district0x', 'ark', '0x', 'qash',
       'loopring', 'waves', 'singulardtv'],
      dtype='object')","Index(['agoras-tokens', 'zcash', 'factom', 'adx-net', 'quantstamp',
       'crypto-com', 'time-new-bank', 'red-pulse', 'kyber-network', 'neblio'],
      dtype='object')","Index(['cardano', 'dash', 'monero', 'ripio-credit-network', 'komodo',
       'power-ledger', 'stratis', 'ardor', 'nem', 'nano'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'eos', 'neo', 'litecoin', 'enigma', 'iota',
       'stellar', 'ethereum'],
      dtype='object')"
20180123,"Index(['syscoin', 'ormeus-coin', 'nexus', 'primas', 'wings',
       'streamr-datacoin', 'populous', 'dynamic-trading-rights', 'cvcoin',
       'agoras-tokens', 'cryptonex'],
      dtype='object')","Index(['nano', 'dash', 'nuls', 'crypto-com', 'komodo', 'factom', 'adx-net',
       'nem', 'ark', 'suncontract', 'waves'],
      dtype='object')","Index(['red-pulse', 'steem', 'district0x', 'power-ledger', 'quantstamp', '0x',
       'ripio-credit-network', 'iota', 'stratis', 'wax', 'enigma'],
      dtype='object')","Index(['neblio', 'monero', 'litecoin', 'sirin-labs-token', 'loopring',
       'time-new-bank', 'kyber-network', 'nebulas-token', 'qash', 'gifto',
       'zcash'],
      dtype='object')","Index(['vibe', 'eos', 'bitcoin', 'rlc', 'bitcoin-cash', 'neo', 'ethereum',
       'singulardtv', 'cardano', 'stellar', 'agrello-delta'],
      dtype='object')"
20180216,"Index(['nexus', 'ripio-credit-network', 'time-new-bank', 'primas',
       'singularitynet', 'streamr-datacoin', 'singulardtv', 'loopring',
       'ormeus-coin', 'dynamic-trading-rights', 'maker', 'cvcoin',
       'cryptonex'],
      dtype='object')","Index(['stratis', 'high-performance-blockchain', 'iota', 'kyber-network',
       'district0x', 'wings', 'qlink', 'qash', 'ark', 'factom', 'rlc',
       'crypto-com'],
      dtype='object')","Index(['adx-net', 'power-ledger', 'quantstamp', 'enigma', 'suncontract',
       'ardor', 'dash', 'komodo', 'steem', 'syscoin', 'nuls', 'nebulas-token'],
      dtype='object')","Index(['neblio', 'stellar', 'waves', 'nano', 'zcash', '0x', 'agrello-delta',
       'populous', 'monero', 'ignis', 'nem', 'bibox-token'],
      dtype='object')","Index(['litecoin', 'bitcoin-cash', 'bitcoin', 'gifto', 'wax', 'cardano',
       'red-pulse', 'ethereum', 'neo', 'vibe', 'eos', 'sirin-labs-token'],
      dtype='object')"
20180312,"Index(['ardor', 'enigma', 'gifto', 'nebulas-token', 'singularitynet', 'cvcoin',
       'qlink', 'bottos', 'qash', 'maker', 'streamr-datacoin',
       'dynamic-trading-rights', 'cryptonex'],
      dtype='object')","Index(['high-performance-blockchain', 'steem', 'power-ledger', 'wax',
       'time-new-bank', '0x', 'quantstamp', 'singulardtv', 'syscoin',
       'bibox-token', 'polymath-network', 'vibe', 'factom'],
      dtype='object')","Index(['adx-net', 'kyber-network', 'iota', 'waves', 'ripio-credit-network',
       'primas', 'ignis', 'komodo', 'coinmeet', 'ark', 'red-pulse', 'stratis',
       'all-sports'],
      dtype='object')","Index(['eos', 'cardano', 'neblio', 'district0x', 'stellar', 'nuls',
       'ormeus-coin', 'populous', 'wings', 'crypto-com', 'loopring', 'zcash',
       'dash'],
      dtype='object')","Index(['nexus', 'bitcoin', 'nano', 'monero', 'suncontract', 'ethereum',
       'litecoin', 'bitcoin-cash', 'neo', 'nem', 'agrello-delta', 'rlc',
       'sirin-labs-token'],
      dtype='object')"
