,Port1,Port2,Port3,Port4,Port5
20170905,"Index(['monero', 'zcash', 'eos', 'iota', 'neo', 'litecoin', 'ethereum'], dtype='object')","Index(['wings', 'steem', 'factom', 'stellar', 'adx-net', '0x', 'primas'], dtype='object')","Index(['district0x', 'ardor', 'cvcoin', 'agoras-tokens', 'nano', 'singulardtv',
       'suncontract'],
      dtype='object')","Index(['nexus', 'nem', 'ark', 'stratis', 'waves', 'rlc', 'populous'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'komodo', 'crypto-com', 'syscoin', 'dash'], dtype='object')"
20170917,"Index(['eos', 'stratis', 'syscoin', 'zcash', 'iota', 'stellar', 'monero',
       'litecoin'],
      dtype='object')","Index(['agoras-tokens', 'rlc', 'cvcoin', 'nano', 'nexus', 'populous', 'ardor'], dtype='object')","Index(['steem', 'neblio', 'wings', 'loopring', 'suncontract', 'agrello-delta',
       'factom', 'primas'],
      dtype='object')","Index(['nem', 'crypto-com', 'waves', 'singulardtv', '0x', 'adx-net',
       'district0x'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'neo', 'bitcoin-cash', 'dash', 'ark', 'komodo'], dtype='object')"
20170929,"Index(['ark', 'monero', 'dash', 'litecoin', 'kyber-network', 'bitcoin-cash',
       'bitcoin', 'ethereum'],
      dtype='object')","Index(['rlc', 'komodo', 'wings', 'populous', 'singulardtv', 'suncontract',
       'nexus', 'nem'],
      dtype='object')","Index(['district0x', 'loopring', 'agoras-tokens', 'agrello-delta', 'primas',
       'cvcoin', 'neblio', 'nano'],
      dtype='object')","Index(['stratis', 'stellar', 'vibe', 'syscoin', 'factom', '0x', 'crypto-com',
       'iota'],
      dtype='object')","Index(['zcash', 'neo', 'adx-net', 'eos', 'steem', 'waves', 'ardor'], dtype='object')"
20171011,"Index(['waves', 'zcash', 'dash', 'litecoin', 'stellar', 'ethereum', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['eos', 'loopring', 'factom', 'kyber-network', 'adx-net', 'stratis',
       'iota', 'monero'],
      dtype='object')","Index(['rlc', 'ark', 'neblio', 'wings', 'singulardtv', 'district0x', 'komodo',
       'steem'],
      dtype='object')","Index(['vibe', 'cvcoin', 'primas', 'agrello-delta', 'nem', 'agoras-tokens',
       'nano', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'crypto-com', 'ardor', 'syscoin', 'cardano', '0x',
       'populous', 'nexus'],
      dtype='object')"
20171023,"Index(['komodo', '0x', 'eos', 'waves', 'iota', 'zcash', 'dash', 'litecoin',
       'ethereum'],
      dtype='object')","Index(['adx-net', 'nexus', 'factom', 'kyber-network', 'enigma', 'nem', 'steem',
       'ark'],
      dtype='object')","Index(['cvcoin', 'wings', 'suncontract', 'syscoin', 'populous', 'loopring',
       'singulardtv', 'ardor'],
      dtype='object')","Index(['monero', 'neblio', 'vibe', 'agoras-tokens', 'agrello-delta', 'nano',
       'primas', 'rlc'],
      dtype='object')","Index(['bitcoin', 'stellar', 'bitcoin-cash', 'district0x', 'neo', 'cardano',
       'stratis', 'crypto-com'],
      dtype='object')"
20171104,"Index(['stellar', 'cardano', 'crypto-com', 'monero', 'zcash', 'dash', 'neo',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['district0x', 'ark', 'red-pulse', 'adx-net', 'nebulas-token', 'nem',
       'iota', 'bitcoin', 'stratis'],
      dtype='object')","Index(['populous', 'enigma', 'wings', 'neblio', 'steem', 'rlc',
       'kyber-network', '0x'],
      dtype='object')","Index(['vibe', 'agoras-tokens', 'cvcoin', 'primas', 'agrello-delta',
       'suncontract', 'singulardtv', 'nano', 'nexus'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'factom', 'waves', 'syscoin', 'loopring',
       'komodo', 'ardor'],
      dtype='object')"
20171116,"Index(['kyber-network', 'cardano', 'nem', 'neo', 'zcash', 'monero', 'litecoin',
       'ethereum', 'dash', 'bitcoin-cash'],
      dtype='object')","Index(['steem', 'rlc', 'neblio', 'district0x', 'singulardtv', 'enigma',
       'streamr-datacoin', 'syscoin', '0x'],
      dtype='object')","Index(['red-pulse', 'vibe', 'ardor', 'primas', 'nexus', 'ark', 'factom',
       'agrello-delta', 'loopring'],
      dtype='object')","Index(['komodo', 'ripio-credit-network', 'populous', 'adx-net', 'suncontract',
       'cvcoin', 'cryptonex', 'nano', 'agoras-tokens'],
      dtype='object')","Index(['bitcoin', 'eos', 'power-ledger', 'iota', 'stellar', 'waves', 'stratis',
       'wings', 'crypto-com'],
      dtype='object')"
20171128,"Index(['factom', 'nexus', 'nem', 'waves', 'quantstamp', 'monero',
       'power-ledger', 'zcash', 'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['rlc', 'neblio', 'suncontract', 'loopring', 'agrello-delta', 'populous',
       'enigma', 'red-pulse', '0x'],
      dtype='object')","Index(['crypto-com', 'kyber-network', 'adx-net', 'wings', 'cryptonex',
       'cvcoin', 'vibe', 'primas', 'nano', 'district0x'],
      dtype='object')","Index(['stratis', 'neo', 'agoras-tokens', 'komodo', 'singulardtv',
       'streamr-datacoin', 'ark', 'steem', 'ardor'],
      dtype='object')","Index(['bitcoin', 'eos', 'cardano', 'iota', 'litecoin', 'stellar', 'syscoin',
       'ripio-credit-network', 'dash'],
      dtype='object')"
20171210,"Index(['power-ledger', 'kyber-network', 'neo', 'dash', 'zcash', 'monero',
       'iota', 'eos', 'stellar', 'bitcoin-cash'],
      dtype='object')","Index(['waves', 'enigma', 'ripio-credit-network', 'factom', 'syscoin', 'ark',
       'streamr-datacoin', 'adx-net', 'qash', 'cardano'],
      dtype='object')","Index(['cryptonex', 'agrello-delta', 'neblio', 'wings', 'rlc', 'singulardtv',
       'time-new-bank', 'district0x', '0x', 'loopring'],
      dtype='object')","Index(['crypto-com', 'nexus', 'agoras-tokens', 'nano', 'ardor', 'red-pulse',
       'suncontract', 'vibe', 'cvcoin', 'primas'],
      dtype='object')","Index(['litecoin', 'bitcoin', 'nem', 'ethereum', 'stratis', 'steem',
       'populous', 'komodo', 'quantstamp'],
      dtype='object')"
20171222,"Index(['kyber-network', 'waves', 'ripio-credit-network', 'zcash', 'cardano',
       'stellar', 'neo', 'ethereum', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['agoras-tokens', 'nexus', 'loopring', 'populous', 'quantstamp',
       'streamr-datacoin', 'power-ledger', 'crypto-com', 'factom', 'qash'],
      dtype='object')","Index(['enigma', 'vibe', 'primas', 'cvcoin', 'cryptonex', 'neblio',
       'agrello-delta', 'rlc', 'wings', 'district0x'],
      dtype='object')","Index(['nano', 'ark', 'steem', 'adx-net', 'syscoin', 'ardor', 'red-pulse',
       'singulardtv', '0x', 'suncontract'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'iota', 'dash', 'komodo', 'nem', 'time-new-bank',
       'stratis', 'monero'],
      dtype='object')"
20180103,"Index(['wings', 'nebulas-token', 'waves', 'ripio-credit-network', 'crypto-com',
       'wax', 'monero', 'litecoin', 'eos', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['cvcoin', 'neblio', 'primas', 'agoras-tokens', 'ormeus-coin', 'nexus',
       'ardor', 'suncontract', 'nuls', 'komodo', 'syscoin'],
      dtype='object')","Index(['streamr-datacoin', 'red-pulse', 'time-new-bank', 'loopring',
       'agrello-delta', 'qash', 'ark', 'populous', 'dynamic-trading-rights',
       'vibe', 'cryptonex'],
      dtype='object')","Index(['neo', 'iota', 'kyber-network', 'stratis', 'district0x', 'rlc', 'nem',
       'singulardtv', '0x', 'dash', 'adx-net'],
      dtype='object')","Index(['stellar', 'ethereum', 'steem', 'nano', 'enigma', 'quantstamp', 'zcash',
       'factom', 'cardano', 'power-ledger'],
      dtype='object')"
20180115,"Index(['power-ledger', 'wax', 'quantstamp', 'nano', 'nebulas-token', 'zcash',
       'time-new-bank', 'dash', 'litecoin', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['ark', 'adx-net', 'neblio', 'nem', 'sirin-labs-token', 'loopring',
       'agrello-delta', 'kyber-network', 'enigma', 'waves', 'nuls'],
      dtype='object')","Index(['agoras-tokens', 'cryptonex', 'suncontract', 'cvcoin', 'primas',
       'dynamic-trading-rights', 'nexus', 'populous', 'streamr-datacoin',
       'ripio-credit-network', 'district0x'],
      dtype='object')","Index(['steem', 'iota', 'crypto-com', 'syscoin', 'factom', 'gifto',
       'ormeus-coin', 'komodo', 'red-pulse', 'wings', '0x'],
      dtype='object')","Index(['eos', 'ethereum', 'neo', 'rlc', 'cardano', 'stellar', 'singulardtv',
       'vibe', 'qash', 'monero', 'stratis'],
      dtype='object')"
20180127,"Index(['wax', 'vibe', 'bibox-token', 'power-ledger', 'sirin-labs-token',
       'ardor', 'iota', 'time-new-bank', 'litecoin', 'nem', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['crypto-com', 'syscoin', 'ormeus-coin', 'streamr-datacoin', 'maker',
       'primas', 'qash', 'suncontract', 'factom', 'enigma', 'neblio',
       'quantstamp'],
      dtype='object')","Index(['populous', 'red-pulse', 'agoras-tokens', 'nuls',
       'high-performance-blockchain', 'gifto', 'agrello-delta', 'qlink',
       'wings', 'cryptonex', 'cvcoin', 'dynamic-trading-rights'],
      dtype='object')","Index(['ark', 'kyber-network', 'monero', 'singulardtv', 'komodo', 'rlc',
       'zcash', 'district0x', 'adx-net', 'loopring', 'nexus', 'dash'],
      dtype='object')","Index(['stellar', 'ethereum', 'eos', 'steem', 'cardano', 'neo', '0x', 'nano',
       'ripio-credit-network', 'nebulas-token', 'stratis', 'waves'],
      dtype='object')"
20180208,"Index(['0x', 'ignis', 'waves', 'crypto-com', 'stratis', 'populous', 'ethereum',
       'bibox-token', 'nano', 'vibe', 'eos', 'cardano', 'bitcoin-cash'],
      dtype='object')","Index(['wings', 'rlc', 'singulardtv', 'nebulas-token', 'komodo',
       'high-performance-blockchain', 'ardor', 'suncontract', 'factom', 'ark',
       'streamr-datacoin', 'kyber-network'],
      dtype='object')","Index(['cvcoin', 'ormeus-coin', 'cryptonex', 'dynamic-trading-rights', 'nexus',
       'agoras-tokens', 'agrello-delta', 'district0x', 'qlink', 'wax',
       'time-new-bank', 'loopring', 'maker'],
      dtype='object')","Index(['sirin-labs-token', 'iota', 'nuls', 'gifto', 'primas', 'adx-net',
       'qash', 'enigma', 'red-pulse', 'singularitynet', 'neblio',
       'ripio-credit-network'],
      dtype='object')","Index(['bitcoin', 'neo', 'litecoin', 'zcash', 'power-ledger', 'dash',
       'syscoin', 'quantstamp', 'monero', 'nem', 'stellar', 'steem'],
      dtype='object')"
20180220,"Index(['vibe', 'stellar', '0x', 'wax', 'zcash', 'nano', 'sirin-labs-token',
       'nem', 'gifto', 'cardano', 'bitcoin-cash', 'eos', 'litecoin',
       'ethereum'],
      dtype='object')","Index(['komodo', 'all-sports', 'district0x', 'ark', 'enigma', 'steem',
       'ripio-credit-network', 'time-new-bank', 'kyber-network', 'populous',
       'red-pulse', 'power-ledger', 'iota'],
      dtype='object')","Index(['cvcoin', 'primas', 'dynamic-trading-rights', 'agoras-tokens',
       'streamr-datacoin', 'maker', 'qlink', 'wings', 'agrello-delta',
       'singulardtv', 'factom', 'ormeus-coin', 'high-performance-blockchain'],
      dtype='object')","Index(['stratis', 'quantstamp', 'suncontract', 'syscoin', 'nuls', 'qash',
       'nexus', 'bottos', 'loopring', 'coinmeet', 'crypto-com',
       'singularitynet', 'cryptonex'],
      dtype='object')","Index(['bitcoin', 'neo', 'adx-net', 'monero', 'polymath-network', 'dash',
       'ignis', 'bibox-token', 'neblio', 'rlc', 'nebulas-token', 'waves',
       'ardor'],
      dtype='object')"
