,Port1,Port2,Port3,Port4,Port5
20170905,"Index(['monero', 'zcash', 'eos', 'iota', 'neo', 'litecoin', 'ethereum'], dtype='object')","Index(['wings', 'steem', 'factom', 'stellar', 'adx-net', '0x', 'primas'], dtype='object')","Index(['district0x', 'ardor', 'cvcoin', 'agoras-tokens', 'nano', 'singulardtv',
       'suncontract'],
      dtype='object')","Index(['nem', 'ark', 'stratis', 'waves', 'aidos-kuneen', 'rlc', 'populous'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'komodo', 'crypto-com', 'syscoin', 'dash',
       'nexus'],
      dtype='object')"
20170923,"Index(['eos', 'crypto-com', 'nexus', 'iota', 'monero', 'stratis', 'litecoin',
       'bitcoin-cash'],
      dtype='object')","Index(['waves', 'komodo', 'syscoin', 'adx-net', 'nem', 'factom', 'ark'], dtype='object')","Index(['agrello-delta', 'suncontract', 'populous', 'district0x', 'wings',
       'nano', '0x'],
      dtype='object')","Index(['steem', 'singulardtv', 'loopring', 'rlc', 'neblio', 'primas',
       'stellar'],
      dtype='object')","Index(['dash', 'ethereum', 'zcash', 'bitcoin', 'neo', 'ardor',
       'agoras-tokens'],
      dtype='object')"
20171011,"Index(['waves', 'zcash', 'dash', 'litecoin', 'stellar', 'ethereum', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['eos', 'loopring', 'factom', 'kyber-network', 'adx-net', 'stratis',
       'iota', 'monero'],
      dtype='object')","Index(['rlc', 'ark', 'neblio', 'wings', 'singulardtv', 'district0x', 'komodo',
       'steem'],
      dtype='object')","Index(['vibe', 'cvcoin', 'primas', 'agrello-delta', 'nem', 'agoras-tokens',
       'nano', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'crypto-com', 'ardor', 'syscoin', 'cardano', '0x',
       'populous', 'nexus'],
      dtype='object')"
20171029,"Index(['monero', 'waves', 'district0x', 'neo', 'iota', 'stellar', 'dash',
       'litecoin', 'stratis'],
      dtype='object')","Index(['ardor', 'populous', 'factom', 'cardano', 'nem', 'adx-net',
       'kyber-network', 'ethereum'],
      dtype='object')","Index(['cvcoin', 'vibe', 'nano', '0x', 'nexus', 'ark', 'enigma', 'steem'], dtype='object')","Index(['komodo', 'wings', 'neblio', 'loopring', 'primas', 'suncontract',
       'agrello-delta', 'agoras-tokens'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'zcash', 'syscoin', 'eos', 'crypto-com',
       'singulardtv', 'rlc'],
      dtype='object')"
20171116,"Index(['kyber-network', 'cardano', 'nem', 'neo', 'zcash', 'monero', 'litecoin',
       'ethereum', 'dash', 'bitcoin-cash'],
      dtype='object')","Index(['steem', 'rlc', 'neblio', 'district0x', 'singulardtv', 'enigma',
       'streamr-datacoin', 'syscoin', '0x'],
      dtype='object')","Index(['red-pulse', 'vibe', 'ardor', 'primas', 'nexus', 'ark', 'factom',
       'agrello-delta', 'loopring'],
      dtype='object')","Index(['komodo', 'ripio-credit-network', 'populous', 'adx-net', 'suncontract',
       'cvcoin', 'cryptonex', 'nano', 'agoras-tokens'],
      dtype='object')","Index(['bitcoin', 'eos', 'power-ledger', 'iota', 'stellar', 'waves', 'stratis',
       'wings', 'crypto-com'],
      dtype='object')"
20171204,"Index(['agrello-delta', 'factom', 'ripio-credit-network', 'streamr-datacoin',
       'power-ledger', 'enigma', 'zcash', 'bitcoin', 'dash', 'ethereum'],
      dtype='object')","Index(['wings', 'primas', 'vibe', 'cvcoin', 'rlc', 'neblio', 'nexus',
       'red-pulse', 'district0x', 'komodo'],
      dtype='object')","Index(['populous', 'suncontract', 'steem', 'crypto-com', 'quantstamp', 'nano',
       'kyber-network', 'cryptonex', '0x'],
      dtype='object')","Index(['ark', 'singulardtv', 'loopring', 'syscoin', 'neo', 'time-new-bank',
       'stratis', 'cardano', 'adx-net', 'monero'],
      dtype='object')","Index(['iota', 'bitcoin-cash', 'eos', 'litecoin', 'stellar', 'agoras-tokens',
       'waves', 'nem', 'ardor'],
      dtype='object')"
20171222,"Index(['kyber-network', 'waves', 'ripio-credit-network', 'zcash', 'cardano',
       'stellar', 'neo', 'ethereum', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['agoras-tokens', 'nexus', 'loopring', 'populous', 'quantstamp',
       'streamr-datacoin', 'power-ledger', 'crypto-com', 'factom', 'qash'],
      dtype='object')","Index(['enigma', 'vibe', 'primas', 'cvcoin', 'cryptonex', 'neblio',
       'agrello-delta', 'rlc', 'wings', 'district0x'],
      dtype='object')","Index(['nano', 'ark', 'steem', 'adx-net', 'syscoin', 'ardor', 'red-pulse',
       'singulardtv', '0x', 'suncontract'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'iota', 'dash', 'komodo', 'nem', 'time-new-bank',
       'stratis', 'monero'],
      dtype='object')"
20180109,"Index(['ormeus-coin', 'rlc', 'vibe', 'cryptonex', 'nexus', 'dash', 'stellar',
       'nano', 'cardano', 'eos', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['syscoin', 'sirin-labs-token', 'wax', 'steem', 'singulardtv',
       'dynamic-trading-rights', 'agrello-delta', 'ardor', 'agoras-tokens',
       'cvcoin', 'primas'],
      dtype='object')","Index(['waves', 'wings', 'adx-net', 'crypto-com', 'gifto', 'komodo',
       'ripio-credit-network', 'populous', 'suncontract', 'streamr-datacoin',
       'ark'],
      dtype='object')","Index(['loopring', 'neo', 'red-pulse', 'enigma', 'iota', 'district0x', 'qash',
       'factom', 'nem', 'power-ledger', 'nuls'],
      dtype='object')","Index(['ethereum', 'neblio', 'litecoin', 'zcash', 'stratis', 'time-new-bank',
       'nebulas-token', '0x', 'quantstamp', 'kyber-network', 'monero'],
      dtype='object')"
20180127,"Index(['wax', 'vibe', 'bibox-token', 'power-ledger', 'sirin-labs-token',
       'ardor', 'iota', 'time-new-bank', 'litecoin', 'nem', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['crypto-com', 'syscoin', 'ormeus-coin', 'streamr-datacoin', 'maker',
       'primas', 'qash', 'suncontract', 'factom', 'enigma', 'neblio',
       'quantstamp'],
      dtype='object')","Index(['populous', 'red-pulse', 'agoras-tokens', 'nuls',
       'high-performance-blockchain', 'gifto', 'agrello-delta', 'qlink',
       'wings', 'cryptonex', 'cvcoin', 'dynamic-trading-rights'],
      dtype='object')","Index(['ark', 'kyber-network', 'monero', 'singulardtv', 'komodo', 'rlc',
       'zcash', 'district0x', 'adx-net', 'loopring', 'nexus', 'dash'],
      dtype='object')","Index(['stellar', 'ethereum', 'eos', 'steem', 'cardano', 'neo', '0x', 'nano',
       'ripio-credit-network', 'nebulas-token', 'stratis', 'waves'],
      dtype='object')"
20180214,"Index(['ardor', 'wax', '0x', 'steem', 'ethereum', 'kyber-network',
       'bibox-token', 'monero', 'nem', 'adx-net', 'dash', 'zcash', 'cardano'],
      dtype='object')","Index(['komodo', 'singularitynet', 'waves', 'nexus', 'vibe', 'suncontract',
       'ormeus-coin', 'iota', 'nebulas-token', 'nuls', 'time-new-bank',
       'power-ledger', 'ignis'],
      dtype='object')","Index(['quantstamp', 'wings', 'rlc', 'streamr-datacoin', 'cvcoin',
       'dynamic-trading-rights', 'agoras-tokens', 'cryptonex', 'maker',
       'loopring', 'primas', 'qash', 'singulardtv'],
      dtype='object')","Index(['factom', 'stratis', 'nano', 'district0x', 'neblio', 'syscoin',
       'ripio-credit-network', 'all-sports', 'qlink',
       'high-performance-blockchain', 'ark', 'crypto-com', 'coinmeet'],
      dtype='object')","Index(['bitcoin', 'gifto', 'litecoin', 'red-pulse', 'eos', 'stellar', 'neo',
       'agrello-delta', 'bitcoin-cash', 'populous', 'sirin-labs-token',
       'enigma'],
      dtype='object')"
