,Port1,Port2,Port3,Port4,Port5
20170909,"Index(['aidos-kuneen', 'suncontract', 'populous', 'nano', 'wings',
       'agoras-tokens', 'cvcoin'],
      dtype='object')","Index(['steem', 'stratis', 'ardor', 'waves', 'nem', 'stellar', 'rlc'], dtype='object')","Index(['dash', 'zcash', 'nexus', 'singulardtv', 'ark', 'factom', 'district0x'], dtype='object')","Index(['eos', 'monero', 'adx-net', 'primas', 'syscoin', '0x', 'ethereum'], dtype='object')","Index(['neo', 'bitcoin', 'komodo', 'bitcoin-cash', 'litecoin', 'crypto-com',
       'iota'],
      dtype='object')"
20170915,"Index(['steem', 'ardor', 'populous', 'aidos-kuneen', 'nano', 'suncontract',
       'cvcoin', 'agoras-tokens'],
      dtype='object')","Index(['crypto-com', 'district0x', 'rlc', 'wings', 'stellar', 'waves',
       'factom'],
      dtype='object')","Index(['zcash', '0x', 'adx-net', 'loopring', 'stratis', 'nem', 'nexus'], dtype='object')","Index(['iota', 'monero', 'eos', 'komodo', 'dash', 'ethereum', 'singulardtv'], dtype='object')","Index(['litecoin', 'bitcoin', 'primas', 'bitcoin-cash', 'neo', 'ark',
       'syscoin'],
      dtype='object')"
20170921,"Index(['factom', 'ardor', 'populous', 'rlc', 'loopring', 'agoras-tokens',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['wings', 'nexus', 'neblio', '0x', 'nano', 'suncontract', 'steem'], dtype='object')","Index(['stratis', 'stellar', 'komodo', 'district0x', 'singulardtv', 'waves',
       'adx-net'],
      dtype='object')","Index(['monero', 'iota', 'crypto-com', 'syscoin', 'nem', 'eos', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'bitcoin', 'ethereum', 'dash', 'neo',
       'ark'],
      dtype='object')"
20170927,"Index(['steem', 'nem', 'singulardtv', 'rlc', 'agrello-delta', 'aidos-kuneen',
       'wings', 'primas'],
      dtype='object')","Index(['neblio', 'agoras-tokens', 'district0x', 'suncontract', 'nano', '0x',
       'populous'],
      dtype='object')","Index(['crypto-com', 'komodo', 'monero', 'syscoin', 'stellar', 'loopring',
       'factom', 'ardor'],
      dtype='object')","Index(['waves', 'adx-net', 'iota', 'nexus', 'eos', 'stratis', 'ark'], dtype='object')","Index(['bitcoin-cash', 'neo', 'ethereum', 'dash', 'bitcoin', 'zcash',
       'litecoin'],
      dtype='object')"
20171003,"Index(['primas', 'suncontract', 'nano', 'neblio', 'wings', 'agoras-tokens',
       'rlc', 'cvcoin'],
      dtype='object')","Index(['nem', 'stellar', 'agrello-delta', '0x', 'singulardtv', 'syscoin',
       'populous', 'factom'],
      dtype='object')","Index(['litecoin', 'stratis', 'monero', 'district0x', 'aidos-kuneen', 'ark',
       'komodo', 'nexus'],
      dtype='object')","Index(['steem', 'ethereum', 'ardor', 'crypto-com', 'dash', 'iota', 'waves',
       'vibe'],
      dtype='object')","Index(['adx-net', 'neo', 'zcash', 'bitcoin', 'kyber-network', 'eos',
       'bitcoin-cash', 'loopring'],
      dtype='object')"
20171009,"Index(['nexus', 'vibe', 'nano', 'cvcoin', 'agoras-tokens', 'agrello-delta',
       'primas', 'suncontract'],
      dtype='object')","Index(['rlc', 'komodo', '0x', 'wings', 'singulardtv', 'syscoin', 'steem',
       'populous'],
      dtype='object')","Index(['monero', 'ardor', 'district0x', 'litecoin', 'eos', 'nem', 'factom',
       'crypto-com'],
      dtype='object')","Index(['loopring', 'iota', 'dash', 'stratis', 'kyber-network', 'waves',
       'neblio', 'ark'],
      dtype='object')","Index(['bitcoin', 'stellar', 'bitcoin-cash', 'neo', 'aidos-kuneen', 'ethereum',
       'adx-net', 'zcash'],
      dtype='object')"
20171015,"Index(['suncontract', 'populous', 'cvcoin', 'agrello-delta', 'nano', 'rlc',
       'agoras-tokens', 'primas'],
      dtype='object')","Index(['vibe', 'komodo', 'steem', '0x', 'wings', 'singulardtv', 'nexus',
       'neblio'],
      dtype='object')","Index(['eos', 'ark', 'ardor', 'dash', 'loopring', 'syscoin', 'nem', 'factom'], dtype='object')","Index(['crypto-com', 'adx-net', 'iota', 'stratis', 'waves', 'zcash', 'monero',
       'kyber-network'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'neo', 'bitcoin-cash', 'district0x',
       'cardano', 'stellar'],
      dtype='object')"
20171021,"Index(['steem', 'nexus', 'wings', 'populous', 'vibe', 'rlc', 'agrello-delta',
       'primas'],
      dtype='object')","Index(['kyber-network', 'factom', 'singulardtv', 'ark', 'loopring',
       'suncontract', 'adx-net', 'cvcoin'],
      dtype='object')","Index(['nem', 'ardor', 'dash', 'komodo', '0x', 'nano', 'zcash', 'eos'], dtype='object')","Index(['cardano', 'stratis', 'neblio', 'monero', 'iota', 'syscoin',
       'agoras-tokens', 'waves'],
      dtype='object')","Index(['stellar', 'bitcoin-cash', 'bitcoin', 'district0x', 'litecoin', 'neo',
       'ethereum', 'crypto-com'],
      dtype='object')"
20171027,"Index(['steem', 'nano', 'wings', 'loopring', 'cvcoin', 'vibe', 'primas',
       'agoras-tokens', 'agrello-delta'],
      dtype='object')","Index(['eos', 'populous', 'kyber-network', 'nexus', 'enigma', '0x', 'ardor',
       'factom'],
      dtype='object')","Index(['singulardtv', 'monero', 'crypto-com', 'neblio', 'komodo', 'rlc', 'nem',
       'suncontract'],
      dtype='object')","Index(['ethereum', 'zcash', 'dash', 'cardano', 'litecoin', 'ark', 'waves',
       'syscoin'],
      dtype='object')","Index(['bitcoin', 'stellar', 'stratis', 'district0x', 'iota', 'neo', 'adx-net',
       'bitcoin-cash'],
      dtype='object')"
20171102,"Index(['enigma', 'nexus', 'ardor', 'nano', 'vibe', 'cvcoin', 'primas',
       'agrello-delta', 'agoras-tokens'],
      dtype='object')","Index(['neblio', 'loopring', '0x', 'kyber-network', 'steem', 'populous',
       'suncontract', 'wings'],
      dtype='object')","Index(['factom', 'nem', 'monero', 'ark', 'adx-net', 'komodo', 'singulardtv',
       'rlc'],
      dtype='object')","Index(['cardano', 'neo', 'stellar', 'dash', 'waves', 'iota', 'district0x',
       'syscoin'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'eos', 'ethereum', 'crypto-com', 'zcash',
       'stratis', 'litecoin'],
      dtype='object')"
