,Port1,Port2,Port3,Port4,Port5
20170904,"Index(['steem', 'zcash', 'factom', 'adx-net', '0x', 'primas', 'suncontract'], dtype='object')","Index(['agoras-tokens', 'nano', 'ethereum', 'wings', 'litecoin', 'monero',
       'stellar'],
      dtype='object')","Index(['aidos-kuneen', 'nem', 'iota', 'singulardtv', 'stratis', 'dash',
       'waves'],
      dtype='object')","Index(['rlc', 'bitcoin-cash', 'eos', 'ardor', 'populous', 'neo', 'bitcoin'], dtype='object')","Index(['komodo', 'crypto-com', 'nexus', 'syscoin', 'district0x', 'ark'], dtype='object')"
20170919,"Index(['monero', 'ark', 'neo', 'singulardtv', 'syscoin', 'neblio',
       'district0x', 'loopring'],
      dtype='object')","Index(['nano', 'dash', '0x', 'factom', 'bitcoin-cash', 'steem',
       'agrello-delta'],
      dtype='object')","Index(['litecoin', 'stellar', 'suncontract', 'adx-net', 'eos', 'bitcoin',
       'zcash'],
      dtype='object')","Index(['populous', 'ethereum', 'crypto-com', 'nexus', 'ardor', 'primas',
       'waves'],
      dtype='object')","Index(['agoras-tokens', 'iota', 'stratis', 'rlc', 'wings', 'komodo', 'nem'], dtype='object')"
20171004,"Index(['eos', 'steem', 'komodo', 'ardor', 'cvcoin', 'kyber-network', 'primas',
       'vibe'],
      dtype='object')","Index(['iota', 'nexus', 'crypto-com', 'stellar', '0x', 'nem', 'wings', 'nano'], dtype='object')","Index(['zcash', 'waves', 'neo', 'dash', 'factom', 'suncontract', 'loopring',
       'stratis'],
      dtype='object')","Index(['district0x', 'bitcoin', 'bitcoin-cash', 'populous', 'ethereum', 'ark',
       'adx-net', 'litecoin'],
      dtype='object')","Index(['neblio', 'agoras-tokens', 'singulardtv', 'syscoin', 'rlc',
       'agrello-delta', 'monero'],
      dtype='object')"
20171019,"Index(['monero', 'rlc', 'cardano', 'ardor', 'district0x', 'crypto-com',
       'enigma', 'primas', 'nano'],
      dtype='object')","Index(['eos', 'populous', 'stellar', 'wings', 'adx-net', 'ethereum',
       'litecoin', 'suncontract'],
      dtype='object')","Index(['iota', 'waves', 'loopring', 'nem', 'zcash', 'dash', 'singulardtv',
       'bitcoin'],
      dtype='object')","Index(['syscoin', 'kyber-network', 'nexus', 'neo', 'agrello-delta', 'ark',
       'steem', 'factom'],
      dtype='object')","Index(['neblio', 'cvcoin', 'agoras-tokens', 'vibe', 'komodo', '0x',
       'bitcoin-cash', 'stratis'],
      dtype='object')"
20171103,"Index(['district0x', 'stratis', 'adx-net', 'neblio', 'crypto-com', 'factom',
       'nano', 'red-pulse', 'cardano'],
      dtype='object')","Index(['nexus', 'singulardtv', 'nem', 'wings', 'suncontract', 'ark', 'neo',
       'populous'],
      dtype='object')","Index(['vibe', 'dash', 'primas', 'stellar', 'ethereum', 'iota', 'zcash',
       'steem', 'enigma'],
      dtype='object')","Index(['kyber-network', 'agoras-tokens', '0x', 'waves', 'loopring', 'litecoin',
       'rlc', 'monero'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ardor', 'syscoin', 'cvcoin', 'bitcoin',
       'komodo', 'agrello-delta'],
      dtype='object')"
20171118,"Index(['komodo', 'singulardtv', 'stratis', 'syscoin', 'district0x', 'rlc',
       'crypto-com', 'agrello-delta', 'cvcoin', 'ripio-credit-network'],
      dtype='object')","Index(['stellar', 'neblio', 'ark', 'factom', 'vibe', 'waves', 'steem', '0x',
       'wings'],
      dtype='object')","Index(['dash', 'ethereum', 'nem', 'ardor', 'agoras-tokens', 'streamr-datacoin',
       'bitcoin-cash', 'cardano', 'red-pulse'],
      dtype='object')","Index(['eos', 'monero', 'populous', 'power-ledger', 'enigma', 'kyber-network',
       'nano', 'iota', 'zcash'],
      dtype='object')","Index(['neo', 'suncontract', 'nexus', 'cryptonex', 'adx-net', 'loopring',
       'litecoin', 'bitcoin', 'primas'],
      dtype='object')"
20171203,"Index(['dash', 'rlc', 'red-pulse', 'factom', 'quantstamp', 'agrello-delta',
       'neblio', 'streamr-datacoin', 'enigma', 'cvcoin'],
      dtype='object')","Index(['power-ledger', 'neo', 'adx-net', 'komodo', 'crypto-com', 'nexus',
       'ethereum', 'bitcoin-cash', 'ripio-credit-network', 'kyber-network'],
      dtype='object')","Index(['wings', 'nem', 'cardano', 'stratis', 'vibe', 'bitcoin', 'iota',
       'zcash', 'district0x'],
      dtype='object')","Index(['populous', 'steem', 'primas', 'syscoin', 'ark', 'time-new-bank',
       'nano', 'litecoin', 'monero', '0x'],
      dtype='object')","Index(['agoras-tokens', 'cryptonex', 'ardor', 'suncontract', 'eos',
       'singulardtv', 'stellar', 'waves', 'loopring'],
      dtype='object')"
20171218,"Index(['komodo', 'eos', 'iota', 'vibe', 'primas', 'singulardtv', 'nexus',
       'populous', 'streamr-datacoin', 'nano'],
      dtype='object')","Index(['stratis', 'monero', 'ardor', 'bitcoin', 'crypto-com', 'litecoin',
       'ethereum', 'neblio', 'waves', 'bitcoin-cash'],
      dtype='object')","Index(['agoras-tokens', 'suncontract', 'syscoin', 'steem', 'rlc', 'cryptonex',
       'time-new-bank', 'power-ledger', 'nem', 'zcash'],
      dtype='object')","Index(['neo', 'ark', 'agrello-delta', 'qash', 'enigma', 'stellar', '0x',
       'adx-net', 'dash', 'factom'],
      dtype='object')","Index(['cardano', 'cvcoin', 'quantstamp', 'wings', 'red-pulse', 'loopring',
       'ripio-credit-network', 'district0x', 'kyber-network'],
      dtype='object')"
20180102,"Index(['dash', 'eos', 'ripio-credit-network', 'crypto-com', 'bitcoin-cash',
       'primas', 'wings', 'suncontract', 'nebulas-token', 'ormeus-coin',
       'wax'],
      dtype='object')","Index(['monero', 'ethereum', 'nexus', 'waves', 'komodo', 'qash', 'bitcoin',
       'nuls', 'litecoin', 'ardor', 'syscoin'],
      dtype='object')","Index(['zcash', 'vibe', 'cryptonex', 'ark', 'cardano', 'populous',
       'time-new-bank', 'agoras-tokens', 'nem', 'cvcoin', 'neo'],
      dtype='object')","Index(['dynamic-trading-rights', 'kyber-network', 'streamr-datacoin',
       'adx-net', '0x', 'power-ledger', 'loopring', 'enigma', 'neblio',
       'stratis', 'iota'],
      dtype='object')","Index(['nano', 'rlc', 'singulardtv', 'factom', 'district0x', 'agrello-delta',
       'stellar', 'red-pulse', 'quantstamp', 'steem'],
      dtype='object')"
20180117,"Index(['ripio-credit-network', 'wings', 'enigma', 'district0x',
       'time-new-bank', 'gifto', 'agrello-delta', 'rlc', 'red-pulse', 'vibe',
       'singulardtv'],
      dtype='object')","Index(['syscoin', 'adx-net', 'wax', 'nexus', 'steem', 'nano', 'factom',
       'primas', 'agoras-tokens', 'power-ledger', 'loopring'],
      dtype='object')","Index(['nebulas-token', 'komodo', 'stellar', 'streamr-datacoin', 'iota', 'ark',
       'bitcoin-cash', 'nuls', 'suncontract', 'crypto-com', 'qash'],
      dtype='object')","Index(['litecoin', '0x', 'cardano', 'ethereum', 'eos', 'zcash', 'waves',
       'stratis', 'dash', 'nem', 'cvcoin'],
      dtype='object')","Index(['ormeus-coin', 'cryptonex', 'sirin-labs-token', 'neo', 'neblio',
       'quantstamp', 'bitcoin', 'kyber-network', 'dynamic-trading-rights',
       'monero', 'populous'],
      dtype='object')"
