,Port1,Port2,Port3,Port4,Port5
20180415,"Index(['qash', 'credits', 'nuls', 'nano', 'all-sports', 'stellar',
       'nebulas-token', 'polymath-network', 'zcash', 'dash', 'qlink',
       'truechain', 'monero', 'bitcoin-cash', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['rlc', 'vibe', 'agrello-delta', 'wings', 'primas', 'factom',
       'matrix-ai-network', 'maker', 'cvcoin', 'crpt',
       'dynamic-trading-rights', 'atn', 'bottos', 'cryptonex', 'ravencoin'],
      dtype='object')","Index(['stratis', 'syscoin', 'ruff', 'ark', 'loom-network', 'adx-net',
       'fusion', 'bibox-token', 'gifto', 'singularitynet', 'ormeus-coin',
       'ren', 'streamr-datacoin', 'populous', 'nexus'],
      dtype='object')","Index(['sirin-labs-token', 'high-performance-blockchain', 'quantstamp', '0x',
       'wax', 'red-pulse', 'waves', 'komodo', 'time-new-bank', 'neblio',
       'enigma', 'ignis', 'district0x', 'suncontract', 'kyber-network'],
      dtype='object')","Index(['eos', 'mithril', 'ontology', 'ethereum', 'neo', 'cardano', 'steem',
       'ardor', 'singulardtv', 'nem', 'iota', 'ripio-credit-network',
       'power-ledger', 'crypto-com', 'loopring'],
      dtype='object')"
20180424,"Index(['polymath-network', 'ravencoin', 'qash', 'cryptonex', 'educare',
       'ormeus-coin', 'suncontract', 'high-performance-blockchain',
       'nebulas-token', 'sirin-labs-token', 'neo', 'ethereum', 'adx-net',
       'ontology', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['ardor', 'matrix-ai-network', 'crpt', 'ignis', 'singularitynet',
       'primas', 'waves', 'streamr-datacoin', 'cvcoin',
       'dynamic-trading-rights', 'fusion', 'atn', 'maker', 'credits', 'factom',
       'wings'],
      dtype='object')","Index(['red-pulse', 'komodo', 'qlink', 'nexus', 'nano', 'nuls', 'quantstamp',
       'stratis', 'time-new-bank', 'enigma', 'neblio', 'loom-network', 'vibe',
       'ark', 'bottos'],
      dtype='object')","Index(['loopring', 'truechain', '0x', 'ruff', 'wax', 'kyber-network',
       'bibox-token', 'gifto', 'syscoin', 'all-sports', 'agrello-delta',
       'ripio-credit-network', 'power-ledger', 'mixin', 'ren', 'rlc'],
      dtype='object')","Index(['eos', 'mithril', 'bitcoin-cash', 'crypto-com', 'cardano', 'stellar',
       'iota', 'district0x', 'monero', 'steem', 'dash', 'nem', 'populous',
       'singulardtv', 'zcash'],
      dtype='object')"
20180503,"Index(['factom', 'high-performance-blockchain', 'komodo', 'ardor', 'populous',
       'ormeus-coin', 'wax', 'zcash', 'nem', 'dash', 'monero', 'adx-net',
       'crypto-com', 'ethereum', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['matrix-ai-network', 'rlc', 'ren', 'dynamic-trading-rights', 'maker',
       'cvcoin', 'stakenet', 'atn', 'singularitynet', 'crpt', 'wings', 'nexus',
       'singulardtv', 'streamr-datacoin', 'cryptonex', 'suncontract'],
      dtype='object')","Index(['power-ledger', 'mixin', 'nano', 'polymath-network', 'quantstamp',
       'syscoin', 'ripio-credit-network', 'enigma', 'qlink', 'agrello-delta',
       'ark', 'bibox-token', 'vibe', 'credits', 'qash', 'ravencoin'],
      dtype='object')","Index(['waves', 'ruff', 'loom-network', 'cortex', 'time-new-bank', 'stellar',
       'nuls', 'mithril', 'educare', 'red-pulse', 'loopring', 'stratis',
       'fusion', '0x', 'primas', 'neblio'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'gifto', 'ontology', 'cardano', 'truechain',
       'ignis', 'all-sports', 'kyber-network', 'district0x', 'nebulas-token',
       'steem', 'sirin-labs-token', 'neo', 'iota', 'bottos'],
      dtype='object')"
20180512,"Index(['factom', 'qlink', 'syscoin', 'power-ledger', 'populous', 'crypto-com',
       'nem', 'zcash', 'kyber-network', 'stellar', 'steem', 'dash', 'cortex',
       'monero', 'gifto', 'cardano', 'eos'],
      dtype='object')","Index(['adx-net', 'cryptonex', 'atn', 'odem', 'crpt', 'cvcoin',
       'dynamic-trading-rights', 'stakenet', 'nexus', 'wings', 'ormeus-coin',
       'mixin', 'ardor', 'komodo', 'vibe', 'ripio-credit-network'],
      dtype='object')","Index(['loopring', 'suncontract', 'matrix-ai-network', 'ren', 'enigma',
       'singulardtv', 'streamr-datacoin', 'wax', 'ravencoin', 'agrello-delta',
       'ark', 'rlc', 'qash', 'district0x', 'singularitynet', 'maker'],
      dtype='object')","Index(['educare', 'polymath-network', 'nebulas-token', 'mithril', 'nuls',
       'waves', 'nano', 'time-new-bank', 'red-pulse', 'ruff', 'fusion',
       'stratis', 'credits', 'quantstamp', 'high-performance-blockchain',
       'neblio'],
      dtype='object')","Index(['ethereum', 'bitcoin', 'bitcoin-cash', 'truechain', 'ontology',
       'all-sports', 'ignis', 'iota', 'loom-network', 'litecoin', '0x', 'neo',
       'primas', 'bottos', 'sirin-labs-token', 'bibox-token'],
      dtype='object')"
20180521,"Index(['stratis', 'wax', 'all-sports', 'matrix-ai-network', 'loopring',
       'neblio', 'nano', 'power-ledger', 'nebulas-token', 'loom-network',
       'gifto', 'litecoin', 'neo', 'cardano', 'mithril', 'bitcoin-cash',
       'eos'],
      dtype='object')","Index(['ravencoin', 'cvcoin', 'dynamic-trading-rights',
       'high-performance-blockchain', 'nexus', 'singularitynet', 'bottos',
       'ardor', 'qash', 'qlink', 'singulardtv', 'ripio-credit-network',
       'factom', 'time-new-bank', 'nexo', 'red-pulse', 'kyber-network'],
      dtype='object')","Index(['enigma', 'nem', 'agrello-delta', 'wings', 'ignis', 'crpt',
       'ormeus-coin', 'maker', 'vibe', 'ark', 'cryptonex', 'mixin', 'stakenet',
       'district0x', 'atn', 'odem'],
      dtype='object')","Index(['populous', 'syscoin', 'stellar', 'bnktothefuture', 'fusion', 'ren',
       'monero', 'komodo', 'waves', 'steem', 'crypto-com', 'credits',
       'adx-net', 'streamr-datacoin', 'ruff', 'dash', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'zcash', 'truechain', 'bibox-token', 'cortex',
       'iota', 'educare', 'primas', 'rlc', '0x', 'nuls', 'ontology',
       'polymath-network', 'sirin-labs-token', 'quantstamp'],
      dtype='object')"
20180530,"Index(['stratis', 'primas', 'nano', 'gifto', 'neblio', 'nem',
       'matrix-ai-network', 'monero', 'loopring', 'kyber-network',
       'crypto-com', 'waves', 'zcash', 'mithril', 'dash', 'bitcoin-cash',
       'ethereum'],
      dtype='object')","Index(['nuls', 'streamr-datacoin', 'red-pulse', 'ren', 'sirin-labs-token',
       'enigma', 'ripio-credit-network', 'fusion', 'wax', 'loom-network',
       'qlink', 'credits', 'nexo', 'nebulas-token', 'time-new-bank',
       'power-ledger', 'steem'],
      dtype='object')","Index(['singulardtv', 'odem', 'dynamic-trading-rights', 'cryptonex', 'maker',
       'atn', 'wings', 'ruff', 'qash', 'ark', 'suncontract', 'agrello-delta',
       'factom', 'ignis', 'adx-net', 'bnktothefuture'],
      dtype='object')","Index(['neo', 'stellar', 'rlc', 'bottos', 'singularitynet',
       'high-performance-blockchain', 'ardor', 'ormeus-coin', 'komodo',
       'mixin', 'polymath-network', 'crpt', 'district0x', 'stakenet', 'vibe',
       'ravencoin', 'cvcoin'],
      dtype='object')","Index(['bitcoin', 'eos', 'bibox-token', '0x', 'truechain', 'all-sports',
       'ontology', 'cortex', 'litecoin', 'educare', 'iota', 'quantstamp',
       'syscoin', 'cardano', 'populous', 'nexus'],
      dtype='object')"
20180608,"Index(['gifto', 'stratis', 'ormeus-coin', 'credits', 'fusion', 'crypto-com',
       'polymath-network', 'loom-network', 'bottos', 'steem', 'monero',
       'nexus', 'litecoin', 'populous', 'cortex', 'dash', 'zcash'],
      dtype='object')","Index(['qash', 'agrello-delta', 'syscoin', 'ignis', 'nano', 'adx-net',
       'primas', 'matrix-ai-network', 'qlink', 'bnktothefuture', 'wax', 'nexo',
       'ardor', 'suncontract', 'quantstamp', 'neblio'],
      dtype='object')","Index(['district0x', 'cryptonex', 'crpt', 'odem', 'maker',
       'dynamic-trading-rights', 'komodo', 'vibe', 'ravencoin', 'atn', 'nem',
       'ark', 'red-pulse', 'ripio-credit-network', 'power-ledger',
       'singulardtv', 'factom'],
      dtype='object')","Index(['singularitynet', 'kyber-network', 'rlc', 'streamr-datacoin', 'stellar',
       'mithril', 'loopring', 'sirin-labs-token', 'time-new-bank', 'waves',
       'ren', 'nuls', 'wings', 'enigma', 'neo', 'stakenet'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ontology', 'cardano', 'ethereum', 'iota',
       'bibox-token', 'all-sports', 'truechain', 'nebulas-token', 'educare',
       'bitcoin', '0x', 'cvcoin', 'ruff', 'high-performance-blockchain'],
      dtype='object')"
20180617,"Index(['populous', 'nano', 'crypto-com', 'gifto', 'kyber-network', '0x',
       'polymath-network', 'nexus', 'educare', 'cortex', 'streamr-datacoin',
       'cardano', 'truechain', 'neo', 'iota', 'bitcoin-cash', 'eos'],
      dtype='object')","Index(['litecoin', 'matrix-ai-network', 'wings', 'high-performance-blockchain',
       'nkn', 'ormeus-coin', 'quantstamp', 'nuls', 'ruff', 'primas', 'stratis',
       'zcash', 'loopring', 'monero', 'time-new-bank', 'all-sports', 'neblio'],
      dtype='object')","Index(['bnktothefuture', 'district0x', 'stellar', 'factom', 'syscoin',
       'adx-net', 'ark', 'ardor', 'rlc', 'qash', 'qlink', 'credits', 'enigma',
       'wax', 'steem', 'suncontract'],
      dtype='object')","Index(['ren', 'atn', 'nexo', 'ravencoin', 'dynamic-trading-rights',
       'sirin-labs-token', 'ignis', 'power-ledger', 'nebulas-token', 'komodo',
       'maker', 'nem', 'cvcoin', 'singulardtv', 'red-pulse', 'vibe',
       'agrello-delta'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'bibox-token', 'mithril', 'dash', 'loom-network',
       'ontology', 'singularitynet', 'waves', 'odem', 'bottos', 'crpt',
       'stakenet', 'fusion', 'cryptonex', 'ripio-credit-network'],
      dtype='object')"
20180626,"Index(['0x', 'populous', 'nebulas-token', 'high-performance-blockchain',
       'fusion', 'stellar', 'all-sports', 'waves', 'nem', 'cardano', 'iota',
       'bitcoin-cash', 'bibox-token', 'neo', 'truechain', 'litecoin', 'eos'],
      dtype='object')","Index(['nuls', 'ardor', 'rlc', 'sirin-labs-token', 'ren', 'steem',
       'kyber-network', 'quantstamp', 'time-new-bank', 'wings', 'gifto',
       'qash', 'primas', 'stratis', 'neblio', 'loom-network',
       'polymath-network'],
      dtype='object')","Index(['factom', 'district0x', 'suncontract', 'agrello-delta', 'ark', 'maker',
       'nexo', 'singularitynet', 'ignis', 'vibe', 'nexus', 'matrix-ai-network',
       'power-ledger', 'ormeus-coin', 'bnktothefuture', 'qlink'],
      dtype='object')","Index(['bottos', 'loopring', 'cryptonex', 'ruff', 'singulardtv', 'cvcoin',
       'syscoin', 'crpt', 'ravencoin', 'atn', 'dynamic-trading-rights',
       'credits', 'adx-net', 'komodo', 'stakenet', 'wax', 'red-pulse'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'mithril', 'streamr-datacoin', 'monero',
       'ontology', 'enigma', 'cortex', 'dash', 'educare', 'nano', 'nkn',
       'crypto-com', 'ripio-credit-network', 'zcash', 'odem'],
      dtype='object')"
20180705,"Index(['nano', 'ruff', 'crpt', 'cryptonex', 'high-performance-blockchain',
       'bnktothefuture', 'stellar', 'streamr-datacoin', 'fusion', 'dash',
       'ren', 'ontology', 'bibox-token', 'litecoin', 'bitcoin-cash', 'eos',
       'ethereum'],
      dtype='object')","Index(['constellation', 'ardor', 'komodo', 'sirin-labs-token', 'smartshare',
       'nkn', 'factom', 'maker', 'dynamic-trading-rights', 'credits', 'nexo',
       'suncontract', 'atn', 'vibe', 'enigma', 'stakenet', 'ravencoin'],
      dtype='object')","Index(['polymath-network', 'qash', 'ignis', 'adx-net', 'quantstamp',
       'singularitynet', 'odem', 'ark', 'nuls', 'wings', 'stratis', 'neblio',
       'qlink', 'cvcoin', 'bottos', 'rlc', 'agrello-delta'],
      dtype='object')","Index(['nebulas-token', 'waves', 'matrix-ai-network', 'district0x', 'educare',
       'loom-network', 'primas', 'kyber-network', 'time-new-bank', 'zcash',
       'cortex', 'singulardtv', 'ormeus-coin', 'ripio-credit-network', 'nexus',
       'red-pulse', 'loopring'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'mithril', 'neo', 'power-ledger', 'crypto-com',
       'cardano', '0x', 'all-sports', 'iota', 'monero', 'truechain', 'nem',
       'gifto', 'populous', 'steem', 'wax'],
      dtype='object')"
