,Port1,Port2,Port3,Port4,Port5
20180409,"Index(['iota', 'nano', 'mithril', 'all-sports', 'ormeus-coin', 'truechain',
       'neo', 'zcash', 'cardano', 'stellar', 'monero', 'qlink', 'litecoin',
       'ethereum', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['bottos', 'dynamic-trading-rights', 'bibox-token', 'atn', 'crpt',
       'primas', 'polymath-network', 'credits', 'ravencoin', 'waves',
       'district0x', 'ruff', 'nebulas-token', 'qash', 'nuls'],
      dtype='object')","Index(['vibe', 'syscoin', 'adx-net', 'agrello-delta', 'singulardtv',
       'matrix-ai-network', 'wings', 'streamr-datacoin', 'factom', 'cvcoin',
       'ren', 'rlc', 'maker', 'cryptonex', 'populous'],
      dtype='object')","Index(['loopring', 'enigma', 'ignis', 'stratis', 'red-pulse', 'ark',
       'time-new-bank', 'loom-network', 'komodo', 'fusion', 'kyber-network',
       'quantstamp', 'singularitynet', 'nexus', 'gifto'],
      dtype='object')","Index(['ontology', 'ardor', 'steem', 'eos', 'ripio-credit-network',
       'power-ledger', 'nem', 'high-performance-blockchain',
       'sirin-labs-token', 'suncontract', 'crypto-com', '0x', 'wax', 'dash',
       'neblio'],
      dtype='object')"
20180421,"Index(['waves', 'bibox-token', 'nebulas-token', 'ruff', 'steem', 'nuls',
       'suncontract', 'educare', 'neo', 'ormeus-coin',
       'high-performance-blockchain', 'zcash', 'litecoin', 'ontology',
       'ethereum', 'bitcoin'],
      dtype='object')","Index(['mixin', 'dynamic-trading-rights', 'maker', 'atn', 'streamr-datacoin',
       'wings', 'matrix-ai-network', 'qash', 'ravencoin', 'kyber-network',
       'singulardtv', 'factom', 'cryptonex', 'neblio', 'sirin-labs-token',
       'credits'],
      dtype='object')","Index(['qlink', 'gifto', 'ignis', 'stratis', 'vibe', 'ark', 'fusion',
       'district0x', 'truechain', 'crpt', 'singularitynet', 'primas', 'bottos',
       'ripio-credit-network', 'cvcoin'],
      dtype='object')","Index(['power-ledger', 'rlc', 'syscoin', 'ren', 'komodo', 'red-pulse',
       'enigma', 'nexus', 'polymath-network', 'nano', 'time-new-bank',
       'loom-network', 'ardor', 'quantstamp', 'adx-net', 'all-sports'],
      dtype='object')","Index(['crypto-com', 'bitcoin-cash', 'cardano', 'mithril', 'eos', 'stellar',
       'iota', 'monero', 'nem', 'populous', 'dash', '0x', 'wax', 'loopring',
       'agrello-delta'],
      dtype='object')"
20180503,"Index(['streamr-datacoin', 'cryptonex', 'suncontract', 'factom',
       'high-performance-blockchain', 'ormeus-coin', 'nem', 'credits',
       'bibox-token', 'crypto-com', 'zcash', 'dash', 'steem', 'monero',
       'litecoin', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['ravencoin', 'nexus', 'power-ledger', 'singularitynet', 'odem',
       'komodo', 'maker', 'cvcoin', 'dynamic-trading-rights', 'atn',
       'stakenet', 'matrix-ai-network', 'ardor', 'populous', 'mixin', 'crpt'],
      dtype='object')","Index(['syscoin', 'enigma', 'quantstamp', 'wax', 'singulardtv',
       'ripio-credit-network', 'agrello-delta', 'ren', 'district0x', 'ark',
       'adx-net', 'qash', 'vibe', 'qlink', 'wings', 'rlc'],
      dtype='object')","Index(['bottos', 'loom-network', 'ruff', 'time-new-bank', 'cortex', 'loopring',
       'nuls', 'educare', 'red-pulse', 'nano', 'stratis', 'fusion', 'primas',
       'neblio', '0x', 'polymath-network'],
      dtype='object')","Index(['eos', 'gifto', 'ontology', 'cardano', 'ignis', 'mithril', 'truechain',
       'all-sports', 'neo', 'kyber-network', 'nebulas-token', 'stellar',
       'sirin-labs-token', 'bitcoin-cash', 'iota', 'waves'],
      dtype='object')"
20180515,"Index(['red-pulse', 'wax', 'neblio', 'stratis', 'time-new-bank', 'populous',
       'educare', 'loopring', 'nano', 'all-sports', 'nebulas-token', 'gifto',
       'loom-network', 'neo', 'cardano', 'bitcoin-cash', 'eos'],
      dtype='object')","Index(['ardor', 'atn', 'odem', 'mixin', 'cvcoin', 'dynamic-trading-rights',
       'stakenet', 'vibe', 'factom', 'wings', 'nexus', 'qlink',
       'singularitynet', 'high-performance-blockchain', 'qash', 'singulardtv',
       'syscoin'],
      dtype='object')","Index(['mithril', 'ignis', 'litecoin', 'cortex', 'bottos', 'nexo',
       'power-ledger', 'crpt', 'cryptonex', 'ripio-credit-network', 'maker',
       'suncontract', 'quantstamp', 'ravencoin', 'ormeus-coin', 'district0x'],
      dtype='object')","Index(['nem', 'fusion', 'kyber-network', 'ren', 'enigma', 'monero', 'credits',
       'rlc', 'streamr-datacoin', 'adx-net', 'ruff', 'komodo',
       'matrix-ai-network', 'agrello-delta', 'ontology', 'steem', 'ark'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'truechain', 'zcash', 'iota', 'primas',
       'bibox-token', 'nuls', 'polymath-network', '0x', 'stellar', 'dash',
       'sirin-labs-token', 'crypto-com', 'bnktothefuture', 'waves'],
      dtype='object')"
20180527,"Index(['time-new-bank', 'steem', 'iota', 'primas', 'mithril', 'loopring',
       'monero', 'crypto-com', 'all-sports', 'kyber-network', 'waves', 'dash',
       'populous', 'cardano', 'zcash', 'cortex', 'ethereum'],
      dtype='object')","Index(['red-pulse', 'nexo', 'ripio-credit-network', 'wax', 'wings', 'nem',
       'gifto', 'power-ledger', 'credits', 'polymath-network', 'qlink',
       'stratis', 'neblio', 'nebulas-token', 'fusion', 'matrix-ai-network',
       'nano'],
      dtype='object')","Index(['ignis', 'syscoin', 'vibe', 'agrello-delta', 'nuls', 'ark',
       'suncontract', 'ruff', 'district0x', 'streamr-datacoin',
       'bnktothefuture', 'adx-net', 'quantstamp', 'ren', 'komodo',
       'loom-network'],
      dtype='object')","Index(['ardor', 'high-performance-blockchain', 'cryptonex', 'stakenet',
       'mixin', 'factom', 'ormeus-coin', 'ravencoin', 'enigma', 'crpt',
       'cvcoin', 'singulardtv', 'odem', 'dynamic-trading-rights', 'atn',
       'maker', 'qash'],
      dtype='object')","Index(['eos', 'bitcoin', 'truechain', '0x', 'bibox-token', 'ontology',
       'bitcoin-cash', 'neo', 'educare', 'rlc', 'stellar', 'litecoin',
       'bottos', 'singularitynet', 'nexus', 'sirin-labs-token'],
      dtype='object')"
20180608,"Index(['nexo', 'bottos', 'mithril', 'populous', 'polymath-network', 'dash',
       'neo', 'nexus', 'stellar', 'cortex', 'all-sports', 'litecoin', 'zcash',
       'iota', 'cardano', 'truechain', 'bitcoin'],
      dtype='object')","Index(['suncontract', '0x', 'gifto', 'quantstamp', 'loopring', 'qlink',
       'ardor', 'crypto-com', 'nuls', 'rlc', 'nano', 'neblio', 'credits',
       'fusion', 'ormeus-coin', 'loom-network'],
      dtype='object')","Index(['singulardtv', 'ravencoin', 'qash', 'komodo', 'district0x', 'syscoin',
       'ripio-credit-network', 'wings', 'ark', 'primas', 'power-ledger',
       'adx-net', 'stratis', 'matrix-ai-network', 'agrello-delta', 'wax',
       'steem'],
      dtype='object')","Index(['time-new-bank', 'enigma', 'stakenet', 'ren', 'atn', 'factom', 'odem',
       'bnktothefuture', 'dynamic-trading-rights', 'maker', 'vibe',
       'red-pulse', 'ignis', 'cryptonex', 'crpt', 'nebulas-token'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ontology', 'bibox-token', 'ethereum', 'cvcoin',
       'educare', 'singularitynet', 'kyber-network', 'streamr-datacoin',
       'waves', 'sirin-labs-token', 'nem', 'ruff',
       'high-performance-blockchain', 'monero'],
      dtype='object')"
20180620,"Index(['neblio', 'primas', 'polymath-network', 'fusion', 'zcash', 'monero',
       'cortex', 'cardano', 'nem', 'loom-network', 'dash', 'neo',
       'bibox-token', 'all-sports', 'iota', 'truechain', 'litecoin'],
      dtype='object')","Index(['suncontract', 'ardor', 'rlc', 'bnktothefuture', 'quantstamp', 'qash',
       'wax', 'high-performance-blockchain', '0x', 'time-new-bank',
       'ormeus-coin', 'kyber-network', 'stellar', 'stratis',
       'matrix-ai-network', 'populous', 'wings'],
      dtype='object')","Index(['sirin-labs-token', 'stakenet', 'ignis', 'ravencoin', 'factom',
       'komodo', 'red-pulse', 'ren', 'singularitynet', 'vibe', 'maker',
       'waves', 'ark', 'steem', 'credits', 'nexo'],
      dtype='object')","Index(['nuls', 'enigma', 'loopring', 'syscoin', 'cryptonex', 'crpt',
       'singulardtv', 'qlink', 'agrello-delta', 'adx-net', 'odem',
       'district0x', 'power-ledger', 'cvcoin', 'nexus', 'atn',
       'dynamic-trading-rights'],
      dtype='object')","Index(['ethereum', 'eos', 'mithril', 'bitcoin', 'ontology', 'bitcoin-cash',
       'nebulas-token', 'streamr-datacoin', 'nkn', 'educare',
       'ripio-credit-network', 'bottos', 'nano', 'ruff', 'crypto-com',
       'gifto'],
      dtype='object')"
20180702,"Index(['qash', 'credits', 'streamr-datacoin', 'cryptonex', 'educare', 'fusion',
       'bnktothefuture', 'neo', 'zcash', 'all-sports', 'ren', 'dash', 'eos',
       'bibox-token', 'litecoin', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['maker', 'atn', 'ignis', 'ruff', 'rlc', 'suncontract', 'factom',
       'enigma', 'odem', 'nexus', 'stakenet', 'komodo', 'constellation',
       'syscoin', 'ravencoin', 'nexo', 'crpt'],
      dtype='object')","Index(['ark', 'district0x', 'high-performance-blockchain', 'cvcoin',
       'ripio-credit-network', 'nuls', 'red-pulse', 'primas', 'singularitynet',
       'singulardtv', 'ardor', 'vibe', 'ontology', 'sirin-labs-token', 'wings',
       'agrello-delta', 'dynamic-trading-rights'],
      dtype='object')","Index(['stratis', 'time-new-bank', 'wax', 'matrix-ai-network', 'ormeus-coin',
       'loopring', 'quantstamp', 'neblio', 'bottos', 'loom-network',
       'polymath-network', 'adx-net', 'qlink', 'nano', 'smartshare', 'stellar',
       'nkn'],
      dtype='object')","Index(['bitcoin', 'mithril', 'power-ledger', 'crypto-com', 'cardano', 'cortex',
       'nebulas-token', 'populous', '0x', 'iota', 'waves', 'steem', 'nem',
       'gifto', 'monero', 'kyber-network', 'truechain'],
      dtype='object')"
20180714,"Index(['ren', 'enigma', 'populous', 'loom-network', 'nem', 'educare', 'primas',
       'loopring', 'matrix-ai-network', 'odem', 'crypto-com', 'neo', 'cortex',
       'nebulas-token', 'bibox-token', 'truechain', 'ontology', 'eos'],
      dtype='object')","Index(['nano', 'cryptonex', 'ruff', 'ripio-credit-network', 'kyber-network',
       'pundi-x', 'nkn', 'polymath-network', 'suncontract', 'syscoin', 'steem',
       'ark', 'qlink', 'singularitynet', 'pchain', 'streamr-datacoin',
       'time-new-bank', 'all-sports'],
      dtype='object')","Index(['credits', 'cvcoin', 'dynamic-trading-rights', 'red-pulse', 'qash',
       'agrello-delta', 'vibe', 'stakenet', 'crpt', 'stratis', 'adx-net',
       'wings', 'ardor', 'ormeus-coin', 'nexo', 'ignis', 'bnktothefuture'],
      dtype='object')","Index(['iota', 'nexus', 'atn', 'sirin-labs-token', 'singulardtv', 'fusion',
       'rlc', 'wax', 'mixin', 'smartshare', 'waves', 'quantstamp', 'factom',
       'komodo', 'constellation', 'ravencoin', 'district0x', 'maker'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'ethereum', 'zcash', '0x', 'litecoin',
       'power-ledger', 'cardano', 'stellar', 'mithril', 'gifto',
       'high-performance-blockchain', 'nuls', 'dash', 'monero', 'bottos',
       'neblio'],
      dtype='object')"
20180726,"Index(['high-performance-blockchain', 'nano', 'pundi-x', 'fusion', 'ardor',
       'litecoin', 'matrix-ai-network', 'waves', 'power-ledger', 'ontology',
       'iota', 'cardano', 'truechain', 'neo', 'eos', 'gifto', 'dash',
       'ethereum'],
      dtype='object')","Index(['enigma', 'qash', 'steem', 'nem', 'bnktothefuture', 'factom', 'credits',
       'nebulas-token', 'neblio', 'primas', 'qlink', 'loopring',
       'kyber-network', 'all-sports', 'loom-network', 'populous',
       'singularitynet', 'cortex'],
      dtype='object')","Index(['wax', 'red-pulse', 'educare', 'ren', 'smartshare', 'wings', 'stratis',
       'nuls', 'nexus', 'rlc', 'time-new-bank', 'ark', 'nexo', 'odem',
       'streamr-datacoin', 'ripio-credit-network', 'sirin-labs-token'],
      dtype='object')","Index(['syscoin', 'district0x', 'bottos', 'dynamic-trading-rights', 'atn',
       'maker', 'ruff', 'pchain', 'ravencoin', 'mixin', 'stakenet',
       'agrello-delta', 'quantstamp', 'cvcoin', '0x', 'singulardtv', 'vibe',
       'suncontract'],
      dtype='object')","Index(['bitcoin', 'mithril', 'stellar', 'adx-net', 'zcash', 'bitcoin-cash',
       'nkn', 'bibox-token', 'ignis', 'polymath-network', 'monero',
       'crypto-com', 'ormeus-coin', 'crpt', 'komodo', 'cryptonex',
       'constellation'],
      dtype='object')"
