,Port1,Port2,Port3,Port4,Port5
20180409,"Index(['matrix-ai-network', 'polymath-network', 'agrello-delta', 'vibe',
       'factom', 'populous', 'syscoin', 'singulardtv', 'atn',
       'dynamic-trading-rights', 'cvcoin', 'wings', 'rlc', 'bibox-token',
       'bottos', 'maker'],
      dtype='object')","Index(['stratis', 'qash', 'time-new-bank', 'ravencoin', 'ark', 'iota',
       'adx-net', 'gifto', 'cryptonex', 'ren', 'credits', 'nexus', 'primas',
       'crpt', 'streamr-datacoin'],
      dtype='object')","Index(['quantstamp', 'district0x', 'truechain', '0x', 'nebulas-token', 'ruff',
       'loopring', 'kyber-network', 'zcash', 'all-sports', 'fusion', 'nano',
       'singularitynet', 'komodo', 'waves'],
      dtype='object')","Index(['bitcoin-cash', 'qlink', 'crypto-com', 'sirin-labs-token', 'neblio',
       'neo', 'enigma', 'wax', 'dash', 'red-pulse', 'ignis', 'monero',
       'ormeus-coin', 'nuls', 'loom-network'],
      dtype='object')","Index(['mithril', 'ontology', 'bitcoin', 'eos', 'ardor', 'ethereum',
       'high-performance-blockchain', 'steem', 'ripio-credit-network',
       'suncontract', 'litecoin', 'power-ledger', 'cardano', 'nem', 'stellar'],
      dtype='object')"
20180424,"Index(['ren', 'ignis', 'factom', 'komodo', 'singularitynet',
       'matrix-ai-network', 'crpt', 'wings', 'ravencoin', 'streamr-datacoin',
       'cryptonex', 'cvcoin', 'primas', 'atn', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['rlc', 'stratis', 'steem', 'suncontract', 'ardor', 'syscoin', 'bottos',
       'power-ledger', 'singulardtv', 'ark', 'fusion',
       'high-performance-blockchain', 'polymath-network', 'qash', 'vibe',
       'red-pulse'],
      dtype='object')","Index(['quantstamp', 'nexus', 'bibox-token', 'nuls', 'nem', 'kyber-network',
       'loopring', 'qlink', 'waves', 'credits', 'neblio', 'nebulas-token',
       'loom-network', 'enigma', 'time-new-bank'],
      dtype='object')","Index(['ontology', 'mixin', 'neo', 'agrello-delta', 'populous', '0x',
       'ormeus-coin', 'sirin-labs-token', 'zcash', 'ripio-credit-network',
       'educare', 'nano', 'truechain', 'iota', 'all-sports', 'gifto'],
      dtype='object')","Index(['crypto-com', 'mithril', 'bitcoin-cash', 'bitcoin', 'adx-net', 'eos',
       'district0x', 'ethereum', 'stellar', 'monero', 'litecoin', 'dash',
       'ruff', 'cardano', 'wax'],
      dtype='object')"
20180509,"Index(['qash', 'district0x', 'wings', 'vibe', 'ark', 'mixin', 'singularitynet',
       'rlc', 'cvcoin', 'streamr-datacoin', 'nexus', 'maker', 'crpt', 'odem',
       'stakenet', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['qlink', 'steem', 'credits', 'nuls', 'enigma', 'nem', 'power-ledger',
       'red-pulse', 'singulardtv', 'cryptonex', 'factom', 'adx-net',
       'ormeus-coin', 'komodo', 'agrello-delta', 'ardor'],
      dtype='object')","Index(['neo', 'dash', 'loopring', 'stellar', 'kyber-network',
       'matrix-ai-network', 'ren', 'populous', 'wax', 'syscoin',
       'high-performance-blockchain', 'suncontract', 'zcash',
       'ripio-credit-network', 'stratis', 'ravencoin'],
      dtype='object')","Index(['fusion', 'sirin-labs-token', 'nebulas-token', 'nano', 'ignis', 'ruff',
       'cardano', 'polymath-network', 'educare', 'time-new-bank', 'crypto-com',
       'neblio', 'waves', 'bibox-token', 'monero', 'quantstamp'],
      dtype='object')","Index(['all-sports', 'truechain', 'bitcoin-cash', 'eos', 'ethereum',
       'loom-network', 'iota', 'ontology', '0x', 'gifto', 'bitcoin',
       'litecoin', 'mithril', 'cortex', 'bottos', 'primas'],
      dtype='object')"
20180524,"Index(['qash', 'nem', 'mixin', 'district0x', 'agrello-delta', 'ark',
       'singulardtv', 'singularitynet', 'adx-net', 'ravencoin', 'odem',
       'stakenet', 'ignis', 'maker', 'cvcoin', 'atn',
       'dynamic-trading-rights'],
      dtype='object')","Index(['loom-network', 'power-ledger', 'nexus', 'stellar', 'vibe', 'komodo',
       'qlink', 'wax', 'ren', 'sirin-labs-token', 'ripio-credit-network',
       'red-pulse', 'ardor', 'cryptonex', 'high-performance-blockchain',
       'ormeus-coin', 'crpt'],
      dtype='object')","Index(['factom', 'waves', 'stratis', 'gifto', 'streamr-datacoin',
       'time-new-bank', 'credits', 'ruff', 'enigma', 'suncontract',
       'crypto-com', 'bottos', 'fusion', 'nano', 'wings', 'bnktothefuture'],
      dtype='object')","Index(['ontology', 'litecoin', 'monero', 'nebulas-token', 'steem', 'rlc',
       'loopring', 'iota', 'matrix-ai-network', 'polymath-network', 'neblio',
       'cardano', 'nexo', 'neo', 'dash', 'nuls', 'kyber-network'],
      dtype='object')","Index(['bitcoin', 'cortex', '0x', 'bibox-token', 'eos', 'bitcoin-cash',
       'zcash', 'truechain', 'ethereum', 'populous', 'educare', 'all-sports',
       'quantstamp', 'syscoin', 'mithril', 'primas'],
      dtype='object')"
20180608,"Index(['crpt', 'ravencoin', 'power-ledger', 'ark', 'syscoin', 'district0x',
       'adx-net', 'odem', 'qash', 'atn', 'singulardtv', 'komodo', 'ignis',
       'factom', 'vibe', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['cryptonex', 'neblio', 'quantstamp', 'primas', 'steem', 'agrello-delta',
       'bnktothefuture', 'wings', 'qlink', 'ren', 'ardor', 'stakenet', 'wax',
       'matrix-ai-network', 'stratis', 'red-pulse'],
      dtype='object')","Index(['populous', 'high-performance-blockchain', 'gifto', 'polymath-network',
       'nano', 'bottos', 'monero', 'credits', 'nem', 'nexo', 'time-new-bank',
       'loom-network', 'rlc', 'suncontract', 'nuls', 'enigma',
       'ripio-credit-network'],
      dtype='object')","Index(['cardano', 'nexus', 'mithril', 'ormeus-coin', 'crypto-com', '0x',
       'loopring', 'waves', 'zcash', 'stellar', 'dash', 'fusion',
       'streamr-datacoin', 'cortex', 'sirin-labs-token', 'litecoin'],
      dtype='object')","Index(['eos', 'cvcoin', 'bitcoin', 'bitcoin-cash', 'iota', 'ontology',
       'bibox-token', 'ethereum', 'educare', 'truechain', 'ruff',
       'kyber-network', 'all-sports', 'singularitynet', 'nebulas-token',
       'neo'],
      dtype='object')"
20180623,"Index(['power-ledger', 'credits', 'steem', 'suncontract', 'ardor', 'ravencoin',
       'ark', 'factom', 'stakenet', 'cryptonex', 'komodo', 'red-pulse', 'crpt',
       'ignis', 'maker', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['odem', 'nem', 'nexus', 'kyber-network', 'wax', 'educare',
       'agrello-delta', 'wings', 'rlc', 'ren', 'ripio-credit-network',
       'quantstamp', 'qlink', 'sirin-labs-token', 'vibe', 'district0x',
       'adx-net'],
      dtype='object')","Index(['nano', 'nuls', 'syscoin', 'loopring', 'matrix-ai-network', 'stellar',
       'neblio', 'singulardtv', 'cvcoin', 'bnktothefuture', '0x',
       'ormeus-coin', 'stratis', 'bottos', 'polymath-network',
       'time-new-bank'],
      dtype='object')","Index(['nexo', 'neo', 'litecoin', 'nkn', 'high-performance-blockchain',
       'primas', 'monero', 'cardano', 'crypto-com', 'loom-network', 'populous',
       'fusion', 'singularitynet', 'zcash', 'gifto', 'ruff', 'qash'],
      dtype='object')","Index(['streamr-datacoin', 'eos', 'bibox-token', 'mithril', 'bitcoin',
       'all-sports', 'ethereum', 'truechain', 'ontology', 'dash',
       'bitcoin-cash', 'enigma', 'waves', 'cortex', 'iota', 'nebulas-token'],
      dtype='object')"
20180708,"Index(['credits', 'smartshare', 'enigma', 'adx-net', 'streamr-datacoin',
       'factom', 'ruff', 'ormeus-coin', 'nexo', 'stakenet', 'crpt', 'atn',
       'komodo', 'vibe', 'mixin', 'cvcoin', 'dynamic-trading-rights', 'maker'],
      dtype='object')","Index(['waves', 'ark', 'nano', 'loopring', 'nkn', 'fusion', 'constellation',
       'singularitynet', 'quantstamp', 'wings', 'ravencoin', 'neblio', 'ren',
       'agrello-delta', 'bottos', 'rlc', 'suncontract'],
      dtype='object')","Index(['zcash', 'power-ledger', 'high-performance-blockchain', 'ardor',
       'time-new-bank', 'stellar', 'nexus', 'cryptonex', 'nuls', 'monero',
       'ripio-credit-network', 'singulardtv', 'sirin-labs-token', 'red-pulse',
       'qlink', 'stratis', 'bnktothefuture'],
      dtype='object')","Index(['cardano', 'ontology', 'populous', 'litecoin', 'ignis', 'steem',
       'all-sports', 'gifto', 'matrix-ai-network', 'district0x', 'dash',
       'polymath-network', 'odem', 'kyber-network', 'nebulas-token', 'qash',
       'wax'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'neo', 'mithril', 'loom-network', 'ethereum',
       'eos', 'primas', 'cortex', 'educare', 'bibox-token', 'truechain',
       'crypto-com', '0x', 'nem', 'bitcoin-cash', 'iota'],
      dtype='object')"
20180723,"Index(['pchain', 'adx-net', 'ruff', 'syscoin', 'komodo', 'streamr-datacoin',
       'agrello-delta', 'singulardtv', 'ark', 'maker', 'cvcoin', 'stakenet',
       'rlc', 'atn', 'vibe', 'mixin', 'red-pulse', 'dynamic-trading-rights'],
      dtype='object')","Index(['loopring', 'nexus', 'steem', 'wings', 'qlink', 'ripio-credit-network',
       'nexo', 'factom', 'qash', 'district0x', 'quantstamp',
       'sirin-labs-token', 'time-new-bank', 'ravencoin', 'ren', 'nkn',
       'bottos', 'constellation'],
      dtype='object')","Index(['all-sports', 'credits', 'wax', 'nebulas-token', 'cortex', 'crpt',
       'singularitynet', 'populous', 'monero', 'primas', 'kyber-network',
       'smartshare', 'polymath-network', 'cryptonex', 'nem', 'nuls', 'enigma'],
      dtype='object')","Index(['zcash', 'ignis', 'dash', 'litecoin', 'loom-network', 'ontology',
       'bnktothefuture', 'educare', 'truechain', 'iota',
       'high-performance-blockchain', 'pundi-x', 'matrix-ai-network', 'waves',
       'nano', 'neblio', 'stratis', 'fusion'],
      dtype='object')","Index(['bitcoin', 'ardor', 'stellar', 'ethereum', 'mithril', 'cardano',
       'bitcoin-cash', 'gifto', 'power-ledger', 'eos', 'suncontract',
       'ormeus-coin', 'crypto-com', 'neo', 'bibox-token', '0x', 'odem'],
      dtype='object')"
20180807,"Index(['pchain', 'suncontract', 'nexus', 'odem', 'streamr-datacoin', 'cvcoin',
       'quantstamp', 'ignis', 'red-pulse', 'factom', 'agrello-delta', 'mixin',
       'atn', 'vibe', 'maker', 'singulardtv', 'metronome',
       'dynamic-trading-rights'],
      dtype='object')","Index(['kyber-network', 'nuls', 'credits', 'adx-net', 'wings', 'crpt', 'qlink',
       'rlc', 'ardor', 'nem', 'ark', 'wax', 'enigma', 'sirin-labs-token',
       'ren', 'qash', 'bottos', 'nexo'],
      dtype='object')","Index(['cortex', 'syscoin', 'educare', 'cryptonex', 'ormeus-coin', 'ruff',
       'smartshare', 'loom-network', 'constellation', 'matrix-ai-network',
       'bnktothefuture', 'high-performance-blockchain', 'fusion',
       'time-new-bank', 'steem', 'ripio-credit-network', 'nkn', 'district0x'],
      dtype='object')","Index(['populous', 'neblio', 'monero', 'polymath-network', 'dash', 'stellar',
       'all-sports', 'komodo', '0x', 'loopring', 'neo', 'stratis', 'ravencoin',
       'crypto-com', 'stakenet', 'nano', 'singularitynet', 'power-ledger'],
      dtype='object')","Index(['bitcoin', 'mithril', 'iota', 'ethereum', 'eos', 'bibox-token',
       'bitcoin-cash', 'truechain', 'primas', 'zcash', 'waves', 'pundi-x',
       'nebulas-token', 'gifto', 'ontology', 'litecoin', 'cardano'],
      dtype='object')"
20180822,"Index(['ark', 'qash', 'steem', 'odem', 'ignis', 'maker', 'singularitynet',
       'cvcoin', 'komodo', 'rlc', 'mixin', 'syscoin', 'wings', 'atn',
       'agrello-delta', 'vibe', 'stakenet', 'metronome',
       'dynamic-trading-rights'],
      dtype='object')","Index(['crpt', 'streamr-datacoin', 'ripio-credit-network', 'ravencoin',
       'nexus', 'enigma', 'bottos', 'qlink', 'nexo', 'stratis', 'suncontract',
       'district0x', 'pchain', 'quantstamp', 'ren', 'wax', 'constellation',
       'ardor'],
      dtype='object')","Index(['0x', 'adx-net', 'cryptonex', 'loom-network', 'sirin-labs-token',
       'red-pulse', 'power-ledger', 'crypto-com', 'bhp-coin', 'seele',
       'factom', 'nuls', 'singulardtv', 'educare', 'neblio', 'smartshare',
       'time-new-bank', 'ormeus-coin', 'waves'],
      dtype='object')","Index(['stellar', 'bnktothefuture', 'pundi-x', 'nkn', 'litecoin', 'fusion',
       'monero', 'cardano', 'kyber-network', 'polymath-network',
       'high-performance-blockchain', 'primas', 'loopring', 'mithril', 'ruff',
       'nem', 'credits', 'matrix-ai-network'],
      dtype='object')","Index(['bitcoin', 'ontology', 'vechain', 'eos', 'cortex', 'all-sports',
       'truechain', 'nebulas-token', 'ethereum', 'neo', 'dash', 'nano',
       'bitcoin-cash', 'populous', 'iota', 'bibox-token', 'gifto', 'zcash'],
      dtype='object')"
