,Port1,Port2,Port3,Port4,Port5
20180425,"Index(['suncontract', 'polymath-network', 'nuls', 'factom', 'truechain',
       'primas', 'nano', 'nebulas-token', 'qash', 'cryptonex', 'litecoin',
       'credits', 'bitcoin', 'atn', 'ormeus-coin', 'ravencoin'],
      dtype='object')","Index(['district0x', 'ethereum', 'neblio', 'komodo', 'dash', 'wings', 'neo',
       'zcash', 'bibox-token', 'dynamic-trading-rights', 'waves', 'nexus',
       'qlink', 'monero', 'ignis'],
      dtype='object')","Index(['high-performance-blockchain', 'singulardtv', 'enigma',
       'sirin-labs-token', 'red-pulse', 'stratis', 'ardor', 'rlc',
       'matrix-ai-network', 'stellar', 'bottos', 'adx-net', 'ark',
       'singularitynet', 'all-sports'],
      dtype='object')","Index(['populous', 'bitcoin-cash', 'gifto', 'syscoin', 'iota', 'quantstamp',
       'maker', 'vibe', 'agrello-delta', 'time-new-bank', 'nem', 'cardano',
       'ripio-credit-network', 'crpt', 'ruff'],
      dtype='object')","Index(['loom-network', 'fusion', 'crypto-com', 'eos', 'wax', 'cvcoin', 'steem',
       'mithril', 'streamr-datacoin', 'kyber-network', '0x', 'ontology',
       'loopring', 'ren', 'power-ledger'],
      dtype='object')"
20180510,"Index(['vibe', 'qash', 'bitcoin', 'ripio-credit-network', 'wings', 'neo',
       'singulardtv', 'nem', 'crpt', 'cryptonex', 'dynamic-trading-rights',
       'komodo', 'singularitynet', 'populous', 'factom', 'ormeus-coin'],
      dtype='object')","Index(['adx-net', 'syscoin', 'loopring', 'nexus', 'red-pulse', 'cardano',
       'ark', 'wax', 'qlink', 'zcash', 'litecoin', 'dash', 'streamr-datacoin',
       'power-ledger', 'monero', 'ardor'],
      dtype='object')","Index(['crypto-com', 'ravencoin', 'iota', 'agrello-delta', 'district0x',
       'waves', 'rlc', 'maker', 'atn', 'cvcoin', 'stellar',
       'high-performance-blockchain', 'quantstamp', 'steem', 'nano'],
      dtype='object')","Index(['gifto', 'nuls', 'mithril', 'kyber-network', 'credits', 'suncontract',
       'sirin-labs-token', 'bibox-token', 'neblio', 'stratis', 'ethereum',
       'ignis', 'educare', 'ren', 'enigma', 'time-new-bank'],
      dtype='object')","Index(['all-sports', 'truechain', 'bottos', 'loom-network', 'mixin',
       'matrix-ai-network', '0x', 'primas', 'eos', 'bitcoin-cash', 'ontology',
       'polymath-network', 'fusion', 'ruff', 'nebulas-token'],
      dtype='object')"
20180525,"Index(['agrello-delta', 'dynamic-trading-rights', 'wings', 'time-new-bank',
       'cardano', 'wax', 'cvcoin', 'qlink', 'kyber-network', 'nano',
       'sirin-labs-token', 'neblio', 'mithril', 'loopring', 'vibe', 'gifto',
       'red-pulse'],
      dtype='object')","Index(['stellar', 'crypto-com', 'nebulas-token', 'ardor', 'neo', 'singulardtv',
       'mixin', 'district0x', 'ignis', 'adx-net', 'populous', 'power-ledger',
       'ruff', 'ripio-credit-network', 'factom', 'qash'],
      dtype='object')","Index(['iota', 'steem', 'enigma', 'maker', 'stratis', 'bottos', 'dash',
       'monero', 'syscoin', 'waves', 'ark', 'cortex', 'cryptonex', 'komodo',
       'eos', 'nem'],
      dtype='object')","Index(['fusion', 'streamr-datacoin', 'stakenet', 'quantstamp', 'ethereum',
       'singularitynet', 'nexus', 'high-performance-blockchain', 'suncontract',
       'bitcoin', 'odem', 'litecoin', 'atn', 'bitcoin-cash', 'ontology',
       'ormeus-coin'],
      dtype='object')","Index(['primas', 'truechain', 'bibox-token', 'educare', 'polymath-network',
       'loom-network', 'crpt', 'ren', '0x', 'rlc', 'ravencoin', 'all-sports',
       'zcash', 'credits', 'matrix-ai-network', 'nuls'],
      dtype='object')"
20180609,"Index(['mithril', 'nano', 'zcash', 'gifto', 'rlc', 'fusion', 'wax',
       'suncontract', 'agrello-delta', 'polymath-network', 'neblio',
       'red-pulse', 'matrix-ai-network', 'loom-network', 'primas', 'credits',
       'bottos'],
      dtype='object')","Index(['sirin-labs-token', 'populous', 'power-ledger', 'singulardtv', 'qlink',
       'kyber-network', 'ignis', 'ripio-credit-network', 'adx-net',
       'district0x', 'truechain', 'stratis', 'ravencoin', 'crypto-com', 'nexo',
       'vibe'],
      dtype='object')","Index(['cardano', 'steem', 'cryptonex', 'crpt', 'monero', 'time-new-bank',
       'wings', 'enigma', 'loopring', 'ardor', 'nem', 'cortex', 'ren', 'ark',
       'dash', 'waves', 'dynamic-trading-rights'],
      dtype='object')","Index(['syscoin', 'ruff', 'bitcoin-cash', 'maker', 'ormeus-coin', 'litecoin',
       'stellar', 'neo', 'ethereum', 'quantstamp', 'bnktothefuture', 'atn',
       'nuls', 'factom', 'qash', 'komodo'],
      dtype='object')","Index(['bibox-token', 'stakenet', 'odem', 'ontology', 'cvcoin', 'eos', 'nexus',
       'high-performance-blockchain', 'educare', 'singularitynet', '0x',
       'bitcoin', 'iota', 'nebulas-token', 'streamr-datacoin', 'all-sports'],
      dtype='object')"
20180624,"Index(['nuls', 'sirin-labs-token', 'matrix-ai-network', 'qash', 'neblio',
       'rlc', 'vibe', 'bottos', 'populous', 'truechain', 'polymath-network',
       'agrello-delta', 'quantstamp', 'cortex', 'loom-network', 'primas',
       'all-sports'],
      dtype='object')","Index(['fusion', 'ardor', 'wings', 'qlink', 'stratis', 'steem', 'ark', '0x',
       'ruff', 'district0x', 'high-performance-blockchain', 'nexus', 'syscoin',
       'gifto', 'ripio-credit-network', 'suncontract'],
      dtype='object')","Index(['ignis', 'power-ledger', 'bnktothefuture', 'mithril', 'ren', 'loopring',
       'kyber-network', 'cardano', 'nexo', 'ravencoin', 'credits', 'adx-net',
       'nano', 'red-pulse', 'wax', 'iota', 'singulardtv'],
      dtype='object')","Index(['crpt', 'ontology', 'litecoin', 'singularitynet', 'zcash', 'waves',
       'stellar', 'eos', 'dynamic-trading-rights', 'ormeus-coin', 'nem',
       'nebulas-token', 'factom', 'komodo', 'neo', 'time-new-bank'],
      dtype='object')","Index(['odem', 'stakenet', 'streamr-datacoin', 'bibox-token', 'cvcoin',
       'cryptonex', 'bitcoin', 'ethereum', 'dash', 'enigma', 'bitcoin-cash',
       'educare', 'monero', 'crypto-com', 'maker', 'atn'],
      dtype='object')"
20180709,"Index(['vibe', 'bnktothefuture', 'high-performance-blockchain', 'cryptonex',
       'ontology', 'bottos', 'stakenet', 'rlc', 'truechain', 'atn', 'syscoin',
       'crpt', 'bibox-token', 'ravencoin', 'fusion', 'ren', 'all-sports'],
      dtype='object')","Index(['cardano', 'zcash', 'bitcoin-cash', 'qlink', 'dynamic-trading-rights',
       'stratis', 'litecoin', 'komodo', 'ripio-credit-network', 'nexo',
       'wings', 'quantstamp', 'ruff', 'neblio', 'nebulas-token', 'eos',
       'cvcoin'],
      dtype='object')","Index(['suncontract', 'singulardtv', 'time-new-bank', 'nem', 'ark', 'steem',
       'dash', 'populous', 'qash', 'iota', 'sirin-labs-token', 'educare',
       'loopring', 'ardor', 'stellar', 'waves'],
      dtype='object')","Index(['ormeus-coin', 'enigma', 'red-pulse', 'nano', 'neo', 'primas', 'wax',
       'adx-net', 'kyber-network', 'maker', 'credits', 'ethereum', 'cortex',
       'nkn', 'agrello-delta', 'nexus', 'nuls'],
      dtype='object')","Index(['crypto-com', 'odem', 'mithril', 'streamr-datacoin', 'power-ledger',
       'monero', 'singularitynet', '0x', 'matrix-ai-network', 'loom-network',
       'factom', 'district0x', 'bitcoin', 'gifto', 'ignis',
       'polymath-network'],
      dtype='object')"
20180724,"Index(['bottos', 'ren', 'credits', 'populous', 'singularitynet', 'fusion',
       'qlink', 'loopring', 'educare', 'cortex', 'nkn', 'bnktothefuture',
       'nebulas-token', 'nexo', 'ontology', 'stakenet', 'all-sports',
       'smartshare'],
      dtype='object')","Index(['waves', 'iota', 'nano', 'dynamic-trading-rights', 'quantstamp',
       'cryptonex', 'mixin', 'truechain', 'streamr-datacoin', 'vibe',
       'bibox-token', 'matrix-ai-network', 'time-new-bank', 'steem', 'enigma',
       'constellation', 'ruff'],
      dtype='object')","Index(['dash', 'litecoin', 'ripio-credit-network', 'ethereum', 'suncontract',
       'eos', 'cvcoin', 'kyber-network', 'komodo', 'agrello-delta',
       'red-pulse', 'ormeus-coin', 'ark', 'rlc', 'syscoin', 'neblio',
       'ravencoin'],
      dtype='object')","Index(['crpt', 'nuls', 'factom', 'gifto', 'loom-network', 'district0x', 'nem',
       'polymath-network', 'crypto-com', 'neo', 'bitcoin-cash', 'wings',
       'sirin-labs-token', 'stratis', 'high-performance-blockchain',
       'singulardtv', 'monero'],
      dtype='object')","Index(['odem', 'mithril', 'stellar', 'primas', '0x', 'ignis', 'adx-net',
       'bitcoin', 'ardor', 'cardano', 'zcash', 'power-ledger', 'qash', 'maker',
       'wax', 'nexus', 'atn'],
      dtype='object')"
20180808,"Index(['ruff', 'neblio', 'waves', 'agrello-delta', 'truechain', 'nano',
       'factom', 'sirin-labs-token', 'ontology', 'vibe', 'nebulas-token',
       'mixin', 'rlc', 'educare', 'loopring', 'nkn', 'stakenet', 'all-sports'],
      dtype='object')","Index(['dynamic-trading-rights', 'primas', 'iota', 'qash', 'cvcoin',
       'kyber-network', 'quantstamp', 'gifto', 'populous', 'nuls', 'nexo',
       'ark', 'pundi-x', 'cortex', 'streamr-datacoin', 'loom-network',
       'singularitynet', 'red-pulse'],
      dtype='object')","Index(['nexus', 'atn', 'stratis', 'suncontract', 'mithril', 'bottos', 'pchain',
       'fusion', 'power-ledger', 'credits', 'singulardtv', 'neo',
       'matrix-ai-network', 'ripio-credit-network', 'adx-net', 'enigma',
       'high-performance-blockchain'],
      dtype='object')","Index(['monero', 'litecoin', 'constellation', 'wings', 'ethereum',
       'crypto-com', 'syscoin', 'steem', 'wax', 'nem', 'district0x', 'ardor',
       'bnktothefuture', '0x', 'dash', 'time-new-bank', 'polymath-network',
       'qlink'],
      dtype='object')","Index(['ravencoin', 'crpt', 'odem', 'bitcoin', 'stellar', 'cryptonex', 'zcash',
       'bibox-token', 'ignis', 'bitcoin-cash', 'smartshare', 'maker', 'komodo',
       'ormeus-coin', 'eos', 'ren', 'cardano'],
      dtype='object')"
20180823,"Index(['fusion', 'stratis', 'agrello-delta', 'vibe', 'loom-network', 'mixin',
       'adx-net', 'bottos', 'polymath-network', 'high-performance-blockchain',
       'mithril', 'loopring', 'ripio-credit-network', 'ruff', 'educare',
       'constellation', 'nkn', 'smartshare'],
      dtype='object')","Index(['metronome', 'quantstamp', 'ren', 'gifto', 'red-pulse', 'pundi-x',
       'kyber-network', 'matrix-ai-network', 'neo', 'neblio', 'singularitynet',
       'factom', 'dynamic-trading-rights', 'atn', 'wax', 'primas', 'iota',
       'district0x'],
      dtype='object')","Index(['0x', 'nexo', 'ark', 'wings', 'nexus', 'time-new-bank',
       'sirin-labs-token', 'nem', 'nuls', 'crypto-com', 'credits',
       'suncontract', 'pchain', 'enigma', 'bibox-token', 'streamr-datacoin',
       'rlc', 'syscoin'],
      dtype='object')","Index(['nebulas-token', 'komodo', 'litecoin', 'maker', 'truechain',
       'bitcoin-cash', 'all-sports', 'steem', 'singulardtv', 'crpt', 'ardor',
       'zcash', 'eos', 'ethereum', 'power-ledger', 'cardano', 'dash', 'odem'],
      dtype='object')","Index(['nano', 'populous', 'ormeus-coin', 'cortex', 'ravencoin', 'waves',
       'bitcoin', 'qlink', 'stakenet', 'qash', 'cvcoin', 'ontology', 'stellar',
       'ignis', 'cryptonex', 'monero', 'bnktothefuture'],
      dtype='object')"
20180907,"Index(['time-new-bank', 'stellar', 'stakenet', 'cardano', 'ardor', 'educare',
       'bibox-token', 'high-performance-blockchain', 'mithril', 'seele',
       'ignis', 'crpt', 'atn', 'ethereum', 'mixin', 'pchain',
       'dynamic-trading-rights', 'smartshare', 'ormeus-coin'],
      dtype='object')","Index(['crypto-com', 'agrello-delta', 'singularitynet', 'wings',
       'bitcoin-cash', 'steem', 'power-ledger', 'nuls', 'wax', '0x', 'zcash',
       'gifto', 'red-pulse', 'maker', 'nexo', 'primas', 'ravencoin', 'nem'],
      dtype='object')","Index(['streamr-datacoin', 'factom', 'credits', 'vibe', 'sirin-labs-token',
       'suncontract', 'syscoin', 'enigma', 'cryptonex', 'adx-net', 'loopring',
       'waves', 'singulardtv', 'litecoin', 'bitcoin', 'kyber-network',
       'bnktothefuture', 'metronome', 'polymath-network'],
      dtype='object')","Index(['pundi-x', 'constellation', 'populous', 'stratis', 'neo', 'rlc',
       'neblio', 'fusion', 'bottos', 'komodo', 'district0x', 'nexus',
       'matrix-ai-network', 'ripio-credit-network', 'ark', 'quantstamp', 'eos',
       'nkn'],
      dtype='object')","Index(['nano', 'vechain', 'ontology', 'cortex', 'qash', 'bhp-coin', 'odem',
       'nebulas-token', 'cvcoin', 'monero', 'qlink', 'all-sports', 'truechain',
       'ruff', 'iota', 'ren', 'dash', 'loom-network'],
      dtype='object')"
