,Port1,Port2,Port3,Port4,Port5
20180413,"Index(['bitcoin', 'bitcoin-cash', 'bottos', 'litecoin', 'nano',
       'dynamic-trading-rights', 'monero', 'qash', 'primas', 'crpt', 'credits',
       'atn', 'all-sports', 'qlink', 'ravencoin', 'truechain'],
      dtype='object')","Index(['red-pulse', 'mithril', 'populous', 'dash', 'adx-net', 'waves',
       'ormeus-coin', 'zcash', 'district0x', 'cryptonex', 'polymath-network',
       'bibox-token', 'nuls', 'stellar', 'nebulas-token'],
      dtype='object')","Index(['nem', 'komodo', 'ignis', 'ethereum', 'gifto', 'neblio',
       'agrello-delta', 'suncontract', 'wings', 'enigma', 'rlc', 'nexus',
       'time-new-bank', 'vibe', 'syscoin'],
      dtype='object')","Index(['ripio-credit-network', 'neo', 'cardano', 'power-ledger', 'cvcoin',
       '0x', 'factom', 'ardor', 'kyber-network', 'maker', 'iota', 'ark', 'ren',
       'stratis', 'ruff'],
      dtype='object')","Index(['fusion', 'ontology', 'steem', 'high-performance-blockchain',
       'singulardtv', 'streamr-datacoin', 'loom-network', 'wax', 'loopring',
       'eos', 'quantstamp', 'sirin-labs-token', 'matrix-ai-network',
       'singularitynet', 'crypto-com'],
      dtype='object')"
20180428,"Index(['quantstamp', 'nem', 'cardano', 'primas', 'bitcoin', 'ren', 'neo',
       'educare', 'cryptonex', 'komodo', 'ignis', 'singulardtv', 'populous',
       'ravencoin', 'singularitynet', 'ormeus-coin'],
      dtype='object')","Index(['red-pulse', 'rlc', 'atn', 'streamr-datacoin', 'iota', 'nano',
       'loopring', 'sirin-labs-token', 'wings', 'qash', 'waves', 'litecoin',
       'factom', 'suncontract', 'high-performance-blockchain',
       'ripio-credit-network'],
      dtype='object')","Index(['district0x', 'qlink', 'credits', 'ethereum', 'time-new-bank',
       'power-ledger', 'zcash', 'polymath-network', 'adx-net', 'stratis',
       'ardor', 'neblio', 'nexus', 'crpt', 'bibox-token'],
      dtype='object')","Index(['ruff', 'nebulas-token', 'stellar', 'dynamic-trading-rights', 'nuls',
       'cvcoin', 'vibe', 'maker', 'agrello-delta', 'enigma', 'wax', 'dash',
       'monero', 'matrix-ai-network', 'ark', 'ontology'],
      dtype='object')","Index(['mixin', 'gifto', 'eos', 'kyber-network', 'truechain', 'mithril',
       'bitcoin-cash', 'loom-network', 'steem', 'crypto-com', 'all-sports',
       'bottos', 'syscoin', '0x', 'fusion'],
      dtype='object')"
20180513,"Index(['adx-net', 'wax', 'qash', 'steem', 'agrello-delta', 'red-pulse',
       'dynamic-trading-rights', 'mixin', 'time-new-bank', 'loopring',
       'populous', 'sirin-labs-token', 'cvcoin', 'vibe', 'cortex', 'factom',
       'gifto'],
      dtype='object')","Index(['ignis', 'neblio', 'ripio-credit-network', 'district0x', 'nano',
       'stakenet', 'ardor', 'crypto-com', 'neo', 'syscoin', 'cardano', 'eos',
       'singulardtv', 'wings', 'qlink', 'power-ledger'],
      dtype='object')","Index(['nexus', 'ormeus-coin', 'quantstamp', 'singularitynet', 'zcash', 'dash',
       'monero', 'ontology', 'stratis', 'ruff', 'nebulas-token', 'nem',
       'stellar', 'odem', 'kyber-network', 'komodo'],
      dtype='object')","Index(['suncontract', 'fusion', 'bibox-token', 'ethereum',
       'high-performance-blockchain', 'iota', 'litecoin', 'bottos', 'atn',
       'educare', 'bitcoin', 'ark', 'enigma', 'waves', 'maker', 'cryptonex'],
      dtype='object')","Index(['primas', 'truechain', 'polymath-network', 'all-sports', 'loom-network',
       '0x', 'matrix-ai-network', 'credits', 'ravencoin', 'streamr-datacoin',
       'mithril', 'crpt', 'ren', 'nuls', 'bitcoin-cash', 'rlc'],
      dtype='object')"
20180528,"Index(['streamr-datacoin', 'zcash', 'gifto', 'neblio', 'power-ledger', 'wax',
       'credits', 'waves', 'mithril', 'crypto-com', 'kyber-network', 'nano',
       'fusion', 'red-pulse', 'agrello-delta', 'matrix-ai-network', 'primas'],
      dtype='object')","Index(['suncontract', 'iota', 'dash', 'wings', 'loopring', 'ark', 'cardano',
       'adx-net', 'enigma', 'vibe', 'polymath-network', 'ripio-credit-network',
       'loom-network', 'stratis', 'sirin-labs-token', 'ren', 'qlink'],
      dtype='object')","Index(['komodo', 'stellar', 'bnktothefuture', 'atn', 'ruff', 'nuls', 'nexo',
       'ethereum', 'district0x', 'crpt', 'ignis', 'singulardtv',
       'nebulas-token', 'time-new-bank', 'nem', 'bitcoin-cash'],
      dtype='object')","Index(['steem', 'ontology', 'bitcoin', 'all-sports', 'cortex',
       'high-performance-blockchain', 'truechain', '0x', 'neo',
       'dynamic-trading-rights', 'maker', 'qash', 'litecoin', 'ravencoin',
       'cryptonex', 'monero', 'populous'],
      dtype='object')","Index(['bibox-token', 'stakenet', 'mixin', 'educare', 'odem', 'nexus',
       'quantstamp', 'rlc', 'eos', 'ormeus-coin', 'syscoin', 'ardor',
       'singularitynet', 'factom', 'cvcoin', 'bottos'],
      dtype='object')"
20180612,"Index(['bottos', 'credits', 'quantstamp', 'truechain', 'vibe', 'district0x',
       'suncontract', 'matrix-ai-network', 'nexo', 'rlc', 'nexus', 'populous',
       'cortex', 'primas', 'polymath-network', 'agrello-delta',
       'loom-network'],
      dtype='object')","Index(['wax', 'time-new-bank', 'mithril', 'ruff', 'nano', 'syscoin', 'enigma',
       'qlink', 'gifto', 'neblio', 'ark', 'ripio-credit-network', 'adx-net',
       'singulardtv', 'all-sports', 'ravencoin'],
      dtype='object')","Index(['ignis', '0x', 'iota', 'komodo', 'crypto-com', 'ardor', 'loopring',
       'factom', 'cardano', 'sirin-labs-token', 'stratis', 'fusion',
       'high-performance-blockchain', 'red-pulse', 'wings', 'steem', 'nuls'],
      dtype='object')","Index(['monero', 'dash', 'singularitynet', 'ormeus-coin', 'crpt', 'educare',
       'power-ledger', 'stellar', 'kyber-network', 'neo',
       'dynamic-trading-rights', 'qash', 'bnktothefuture', 'nebulas-token',
       'zcash', 'ren'],
      dtype='object')","Index(['stakenet', 'odem', 'bibox-token', 'cvcoin', 'streamr-datacoin',
       'ontology', 'atn', 'bitcoin-cash', 'eos', 'waves', 'maker', 'ethereum',
       'bitcoin', 'cryptonex', 'litecoin', 'nem'],
      dtype='object')"
20180627,"Index(['bottos', 'agrello-delta', '0x', 'qash', 'neblio',
       'ripio-credit-network', 'eos', 'polymath-network', 'vibe', 'populous',
       'rlc', 'quantstamp', 'truechain', 'loom-network', 'fusion', 'primas',
       'all-sports'],
      dtype='object')","Index(['cardano', 'power-ledger', 'steem', 'stratis', 'bibox-token', 'wings',
       'waves', 'ren', 'time-new-bank', 'atn', 'qlink', 'ardor',
       'high-performance-blockchain', 'nuls', 'ravencoin', 'ignis', 'nexo'],
      dtype='object')","Index(['wax', 'singulardtv', 'nebulas-token', 'stellar', 'litecoin', 'ruff',
       'iota', 'matrix-ai-network', 'neo', 'district0x', 'ark', 'gifto',
       'red-pulse', 'nem', 'syscoin', 'sirin-labs-token'],
      dtype='object')","Index(['ethereum', 'adx-net', 'credits', 'factom', 'bnktothefuture',
       'ontology', 'maker', 'kyber-network', 'zcash', 'nexus', 'crpt', 'nano',
       'educare', 'bitcoin-cash', 'ormeus-coin', 'komodo',
       'dynamic-trading-rights'],
      dtype='object')","Index(['streamr-datacoin', 'crypto-com', 'enigma', 'odem', 'monero', 'cortex',
       'cryptonex', 'bitcoin', 'cvcoin', 'singularitynet', 'nkn', 'stakenet',
       'dash', 'suncontract', 'mithril', 'loopring'],
      dtype='object')"
20180712,"Index(['mixin', 'syscoin', 'fusion', 'enigma', 'cryptonex', 'all-sports',
       'ruff', 'steem', 'ren', 'populous', 'bottos', 'cortex', 'stakenet',
       'constellation', 'bibox-token', 'loopring', 'nebulas-token',
       'ontology'],
      dtype='object')","Index(['bnktothefuture', 'quantstamp', 'dash', 'kyber-network', 'suncontract',
       'stratis', 'streamr-datacoin', 'smartshare', 'time-new-bank', 'eos',
       'cvcoin', 'nexo', 'qlink', 'truechain', 'crpt', 'ravencoin', 'nkn'],
      dtype='object')","Index(['stellar', 'zcash', 'ark', 'litecoin', 'wings', 'adx-net', 'monero',
       'cardano', 'komodo', 'educare', 'neblio', 'bitcoin-cash',
       'high-performance-blockchain', 'dynamic-trading-rights', 'vibe',
       'singularitynet', 'waves'],
      dtype='object')","Index(['ormeus-coin', 'crypto-com', 'singulardtv', 'district0x',
       'power-ledger', 'rlc', 'matrix-ai-network', 'mithril', 'red-pulse',
       'nem', 'atn', 'agrello-delta', 'ripio-credit-network', 'bitcoin',
       'iota', 'nano', 'ethereum'],
      dtype='object')","Index(['odem', 'primas', 'qash', 'ignis', 'factom', 'sirin-labs-token',
       'loom-network', 'nexus', 'nuls', 'neo', 'credits', 'polymath-network',
       'maker', 'wax', 'ardor', 'gifto', '0x'],
      dtype='object')"
20180727,"Index(['pundi-x', 'ormeus-coin', 'gifto', 'nano', 'cortex', 'sirin-labs-token',
       'mixin', 'bnktothefuture', 'rlc', 'qlink', 'singularitynet', 'populous',
       'stakenet', 'factom', 'educare', 'all-sports', 'nexo', 'credits'],
      dtype='object')","Index(['nuls', 'neo', 'time-new-bank', 'bottos', 'qash', 'nebulas-token',
       'vibe', '0x', 'loom-network', 'loopring', 'streamr-datacoin', 'cvcoin',
       'ark', 'waves', 'truechain', 'singulardtv', 'ontology',
       'matrix-ai-network'],
      dtype='object')","Index(['crypto-com', 'neblio', 'high-performance-blockchain', 'smartshare',
       'dash', 'red-pulse', 'agrello-delta', 'district0x', 'ethereum',
       'quantstamp', 'atn', 'ripio-credit-network', 'komodo', 'enigma',
       'fusion', 'iota', 'kyber-network'],
      dtype='object')","Index(['stratis', 'bitcoin-cash', 'adx-net', 'wings', 'pchain', 'monero',
       'maker', 'power-ledger', 'odem', 'steem', 'nem', 'ruff',
       'polymath-network', 'syscoin', 'suncontract', 'nexus',
       'dynamic-trading-rights', 'litecoin'],
      dtype='object')","Index(['mithril', 'crpt', 'bibox-token', 'stellar', 'bitcoin', 'zcash',
       'constellation', 'ravencoin', 'ignis', 'cryptonex', 'ardor', 'ren',
       'cardano', 'primas', 'nkn', 'eos', 'wax'],
      dtype='object')"
20180811,"Index(['all-sports', 'ontology', 'nebulas-token', 'ripio-credit-network',
       'agrello-delta', 'stakenet', 'nuls', 'high-performance-blockchain',
       'red-pulse', 'polymath-network', 'mixin', 'loom-network', 'rlc',
       'fusion', 'loopring', 'mithril', 'constellation', 'nkn'],
      dtype='object')","Index(['neo', 'district0x', 'atn', 'cortex', 'quantstamp', 'iota',
       'smartshare', 'primas', 'streamr-datacoin', 'truechain', 'adx-net',
       'stratis', 'neblio', 'nano', 'vibe', 'educare', 'pundi-x', 'bottos'],
      dtype='object')","Index(['gifto', 'sirin-labs-token', 'wax', 'singulardtv', 'qash', 'nexo',
       'credits', 'metronome', 'wings', 'syscoin', 'enigma', 'bibox-token',
       'factom', 'pchain', 'ruff', 'kyber-network', 'suncontract',
       'power-ledger'],
      dtype='object')","Index(['steem', 'dash', 'litecoin', 'ren', 'matrix-ai-network', 'bitcoin-cash',
       'crpt', 'monero', 'singularitynet', 'cryptonex', 'crypto-com',
       'dynamic-trading-rights', 'waves', 'nexus', 'eos', 'ark', 'ardor',
       'nem'],
      dtype='object')","Index(['ravencoin', 'ormeus-coin', 'cvcoin', 'odem', 'ignis', 'populous',
       'bnktothefuture', 'time-new-bank', 'stellar', 'komodo', 'bitcoin',
       'cardano', '0x', 'maker', 'zcash', 'qlink', 'ethereum'],
      dtype='object')"
20180826,"Index(['primas', 'wax', 'crpt', 'ardor', 'stellar', 'ethereum', 'ren',
       'cardano', 'ormeus-coin', 'ignis', 'metronome', 'mixin', 'atn', 'nem',
       'dynamic-trading-rights', 'crypto-com', 'mithril', 'ravencoin',
       'smartshare'],
      dtype='object')","Index(['komodo', 'bnktothefuture', 'cryptonex', 'neo', 'eos', 'monero',
       'constellation', 'maker', 'bitcoin', 'educare', 'steem',
       'high-performance-blockchain', 'litecoin', '0x', 'bitcoin-cash',
       'zcash', 'dash', 'singularitynet'],
      dtype='object')","Index(['singulardtv', 'gifto', 'adx-net', 'suncontract',
       'ripio-credit-network', 'bottos', 'matrix-ai-network', 'wings', 'nexo',
       'loopring', 'factom', 'power-ledger', 'enigma', 'bibox-token', 'ruff',
       'stakenet', 'syscoin', 'nuls', 'nexus'],
      dtype='object')","Index(['polymath-network', 'streamr-datacoin', 'sirin-labs-token', 'waves',
       'quantstamp', 'credits', 'time-new-bank', 'kyber-network', 'neblio',
       'pundi-x', 'stratis', 'pchain', 'cvcoin', 'seele', 'iota',
       'agrello-delta', 'district0x', 'vibe'],
      dtype='object')","Index(['nano', 'vechain', 'cortex', 'ontology', 'all-sports', 'qash', 'rlc',
       'nebulas-token', 'nkn', 'fusion', 'populous', 'ark', 'loom-network',
       'truechain', 'odem', 'bhp-coin', 'qlink', 'red-pulse'],
      dtype='object')"
