,j,h,winner_mon,loser_mon,mean,t
0,6.0,6.0,1.9505876450751392,0.0820686173706957,0.2258,1.1203
1,6.0,9.0,3.206690804063636,0.12222742489840299,0.5036,1.0643
2,6.0,12.0,0.1787674413613436,0.09323554919908372,0.0317,0.6463
3,6.0,15.0,1.9946302500000006,0.1687772099999998,0.6494,1.0145
4,6.0,18.0,0.1872973425494544,0.08178920405637702,0.0602,0.7372
5,6.0,24.0,0.17099077580273137,0.16183829811008255,0.007,0.0477
6,12.0,6.0,0.21723794417721676,0.11113456952735845,0.0189,0.876
7,12.0,9.0,0.17175700908582336,0.07909649575970112,0.0256,0.7937
8,12.0,12.0,0.19289024518554454,0.7820765801726928,-0.1869,-0.7997
9,12.0,15.0,0.17787608999999982,1.5280999999999993,-0.5047,-0.8947
10,12.0,18.0,0.16648476129029688,0.07903874778911191,0.0501,0.5877
11,12.0,24.0,0.1384429348935048,0.15861901844775383,-0.0157,-0.1189
12,28.0,6.0,0.13306490171183571,0.15365744691614847,-0.0036,-0.1818
13,28.0,9.0,0.13893614803733345,0.6344122992150465,-0.1189,-1.0562
14,28.0,12.0,0.1527288321046385,0.17023226370833444,-0.0064,-0.1324
15,28.0,15.0,0.15691536000000017,1.8227360099999999,-0.6045,-0.9924
16,28.0,18.0,0.0661833516485919,0.2507971082456859,-0.1044,-1.0083
17,28.0,24.0,0.19322224915704678,0.15926273143609837,0.0263,0.1326
18,24.0,6.0,0.16491255623415046,0.12755014093508654,0.0067,0.3134
19,24.0,9.0,0.10069229186631024,0.18860121021289133,-0.024,-0.6235
20,24.0,12.0,0.11605814922812363,0.8948196399097736,-0.2465,-1.0393
21,24.0,15.0,0.13337315999999988,0.9323780099999996,-0.3255,-1.0923
22,24.0,18.0,0.081617218491576,0.17393900229981862,-0.0528,-0.6673
23,24.0,24.0,0.17176488220879693,2.262223445043554,-1.4399,-0.9755
